"epoch","E_org_k5_rel_svo2080_YJ_20231126T023556 - _step","E_org_k5_rel_svo2080_YJ_20231126T023556 - _step__MIN","E_org_k5_rel_svo2080_YJ_20231126T023556 - _step__MAX","E_org_k5_rel_svo2080_YJ_20231126T023556 - val_avg_reward","E_org_k5_rel_svo2080_YJ_20231126T023556 - val_avg_reward__MIN","E_org_k5_rel_svo2080_YJ_20231126T023556 - val_avg_reward__MAX","E_rel_k5_rel_svo2080_YJ_20231126T023548 - _step","E_rel_k5_rel_svo2080_YJ_20231126T023548 - _step__MIN","E_rel_k5_rel_svo2080_YJ_20231126T023548 - _step__MAX","E_rel_k5_rel_svo2080_YJ_20231126T023548 - val_avg_reward","E_rel_k5_rel_svo2080_YJ_20231126T023548 - val_avg_reward__MIN","E_rel_k5_rel_svo2080_YJ_20231126T023548 - val_avg_reward__MAX","E_org_svo2080_YJ_20231125T172521 - _step","E_org_svo2080_YJ_20231125T172521 - _step__MIN","E_org_svo2080_YJ_20231125T172521 - _step__MAX","E_org_svo2080_YJ_20231125T172521 - val_avg_reward","E_org_svo2080_YJ_20231125T172521 - val_avg_reward__MIN","E_org_svo2080_YJ_20231125T172521 - val_avg_reward__MAX","E_rel_svo2080_YJ_20231125T172513 - _step","E_rel_svo2080_YJ_20231125T172513 - _step__MIN","E_rel_svo2080_YJ_20231125T172513 - _step__MAX","E_rel_svo2080_YJ_20231125T172513 - val_avg_reward","E_rel_svo2080_YJ_20231125T172513 - val_avg_reward__MIN","E_rel_svo2080_YJ_20231125T172513 - val_avg_reward__MAX","k0_rel_svo2080_YJ_20231123T021356 - _step","k0_rel_svo2080_YJ_20231123T021356 - _step__MIN","k0_rel_svo2080_YJ_20231123T021356 - _step__MAX","k0_rel_svo2080_YJ_20231123T021356 - val_avg_reward","k0_rel_svo2080_YJ_20231123T021356 - val_avg_reward__MIN","k0_rel_svo2080_YJ_20231123T021356 - val_avg_reward__MAX"
"10","560","560","560","6.495357513427734","6.495357513427734","6.495357513427734","560","560","560","6.7215142250061035","6.7215142250061035","6.7215142250061035","560","560","560","6.830831050872803","6.830831050872803","6.830831050872803","560","560","560","6.506369590759277","6.506369590759277","6.506369590759277","560","560","560","6.843435287475586","6.843435287475586","6.843435287475586"
"11","611","611","611","6.487111568450928","6.487111568450928","6.487111568450928","611","611","611","6.682317733764648","6.682317733764648","6.682317733764648","611","611","611","6.832427978515625","6.832427978515625","6.832427978515625","611","611","611","6.4520745277404785","6.4520745277404785","6.4520745277404785","611","611","611","6.834251403808594","6.834251403808594","6.834251403808594"
"12","662","662","662","6.450413703918457","6.450413703918457","6.450413703918457","662","662","662","6.688319683074951","6.688319683074951","6.688319683074951","662","662","662","6.724886894226074","6.724886894226074","6.724886894226074","662","662","662","6.422266006469727","6.422266006469727","6.422266006469727","662","662","662","6.836153984069824","6.836153984069824","6.836153984069824"
"13","713","713","713","6.4318013191223145","6.4318013191223145","6.4318013191223145","713","713","713","6.6602091789245605","6.6602091789245605","6.6602091789245605","713","713","713","6.693507194519043","6.693507194519043","6.693507194519043","713","713","713","6.4681501388549805","6.4681501388549805","6.4681501388549805","713","713","713","6.801460266113281","6.801460266113281","6.801460266113281"
"14","764","764","764","6.417425155639648","6.417425155639648","6.417425155639648","764","764","764","6.63300085067749","6.63300085067749","6.63300085067749","764","764","764","6.748600959777832","6.748600959777832","6.748600959777832","764","764","764","6.420864582061768","6.420864582061768","6.420864582061768","764","764","764","6.787631988525391","6.787631988525391","6.787631988525391"
"15","815","815","815","6.4265618324279785","6.4265618324279785","6.4265618324279785","815","815","815","6.593193054199219","6.593193054199219","6.593193054199219","815","815","815","6.598724842071533","6.598724842071533","6.598724842071533","815","815","815","6.416458606719971","6.416458606719971","6.416458606719971","815","815","815","6.775607585906982","6.775607585906982","6.775607585906982"
"16","866","866","866","6.384004592895508","6.384004592895508","6.384004592895508","866","866","866","6.61090612411499","6.61090612411499","6.61090612411499","866","866","866","6.583258628845215","6.583258628845215","6.583258628845215","866","866","866","6.413990020751953","6.413990020751953","6.413990020751953","866","866","866","6.795948505401611","6.795948505401611","6.795948505401611"
"17","917","917","917","6.385179042816162","6.385179042816162","6.385179042816162","917","917","917","6.5803608894348145","6.5803608894348145","6.5803608894348145","917","917","917","6.563207626342773","6.563207626342773","6.563207626342773","917","917","917","6.421985149383545","6.421985149383545","6.421985149383545","917","917","917","6.812356472015381","6.812356472015381","6.812356472015381"
"18","968","968","968","6.390478610992432","6.390478610992432","6.390478610992432","968","968","968","6.570981025695801","6.570981025695801","6.570981025695801","968","968","968","6.5441694259643555","6.5441694259643555","6.5441694259643555","968","968","968","6.388784885406494","6.388784885406494","6.388784885406494","968","968","968","6.786978721618652","6.786978721618652","6.786978721618652"
"19","1019","1019","1019","6.3743391036987305","6.3743391036987305","6.3743391036987305","1019","1019","1019","6.5534844398498535","6.5534844398498535","6.5534844398498535","1019","1019","1019","6.507022380828857","6.507022380828857","6.507022380828857","1019","1019","1019","6.359546661376953","6.359546661376953","6.359546661376953","1019","1019","1019","6.786617279052734","6.786617279052734","6.786617279052734"
"20","1070","1070","1070","6.378136157989502","6.378136157989502","6.378136157989502","1070","1070","1070","6.531208515167236","6.531208515167236","6.531208515167236","1070","1070","1070","6.531898498535156","6.531898498535156","6.531898498535156","1070","1070","1070","6.344172954559326","6.344172954559326","6.344172954559326","1070","1070","1070","6.762871742248535","6.762871742248535","6.762871742248535"
"21","1121","1121","1121","6.358036994934082","6.358036994934082","6.358036994934082","1121","1121","1121","6.506218433380127","6.506218433380127","6.506218433380127","1121","1121","1121","6.496831893920898","6.496831893920898","6.496831893920898","1121","1121","1121","6.322612285614014","6.322612285614014","6.322612285614014","1121","1121","1121","6.779338836669922","6.779338836669922","6.779338836669922"
"22","1172","1172","1172","6.339686870574951","6.339686870574951","6.339686870574951","1172","1172","1172","6.540523529052734","6.540523529052734","6.540523529052734","1172","1172","1172","6.463283061981201","6.463283061981201","6.463283061981201","1172","1172","1172","6.320246696472168","6.320246696472168","6.320246696472168","1172","1172","1172","6.751553058624268","6.751553058624268","6.751553058624268"
"23","1223","1223","1223","6.316080570220947","6.316080570220947","6.316080570220947","1223","1223","1223","6.510058403015137","6.510058403015137","6.510058403015137","1223","1223","1223","6.445618152618408","6.445618152618408","6.445618152618408","1223","1223","1223","6.312877178192139","6.312877178192139","6.312877178192139","1223","1223","1223","6.781466960906982","6.781466960906982","6.781466960906982"
"24","1274","1274","1274","6.301900863647461","6.301900863647461","6.301900863647461","1274","1274","1274","6.476165294647217","6.476165294647217","6.476165294647217","1274","1274","1274","6.44425630569458","6.44425630569458","6.44425630569458","1274","1274","1274","6.298739433288574","6.298739433288574","6.298739433288574","1274","1274","1274","6.7424421310424805","6.7424421310424805","6.7424421310424805"
"25","1325","1325","1325","6.30704927444458","6.30704927444458","6.30704927444458","1325","1325","1325","6.4540696144104","6.4540696144104","6.4540696144104","1325","1325","1325","6.428892612457275","6.428892612457275","6.428892612457275","1325","1325","1325","6.328700065612793","6.328700065612793","6.328700065612793","1325","1325","1325","6.752026557922363","6.752026557922363","6.752026557922363"
"26","1376","1376","1376","6.2819437980651855","6.2819437980651855","6.2819437980651855","1376","1376","1376","6.459977149963379","6.459977149963379","6.459977149963379","1376","1376","1376","6.462264060974121","6.462264060974121","6.462264060974121","1376","1376","1376","6.291703701019287","6.291703701019287","6.291703701019287","1376","1376","1376","6.773509502410889","6.773509502410889","6.773509502410889"
"27","1427","1427","1427","6.292198657989502","6.292198657989502","6.292198657989502","1427","1427","1427","6.493520736694336","6.493520736694336","6.493520736694336","1427","1427","1427","6.39215087890625","6.39215087890625","6.39215087890625","1427","1427","1427","6.28106689453125","6.28106689453125","6.28106689453125","1427","1427","1427","6.76127815246582","6.76127815246582","6.76127815246582"
"28","1478","1478","1478","6.281469345092773","6.281469345092773","6.281469345092773","1478","1478","1478","6.454413890838623","6.454413890838623","6.454413890838623","1478","1478","1478","6.397491931915283","6.397491931915283","6.397491931915283","1478","1478","1478","6.268964767456055","6.268964767456055","6.268964767456055","1478","1478","1478","6.769593715667725","6.769593715667725","6.769593715667725"
"29","1529","1529","1529","6.266097068786621","6.266097068786621","6.266097068786621","1529","1529","1529","6.433868408203125","6.433868408203125","6.433868408203125","1529","1529","1529","6.393319606781006","6.393319606781006","6.393319606781006","1529","1529","1529","6.287050247192383","6.287050247192383","6.287050247192383","1529","1529","1529","6.750447750091553","6.750447750091553","6.750447750091553"
"30","1580","1580","1580","6.248401641845703","6.248401641845703","6.248401641845703","1580","1580","1580","6.456368446350098","6.456368446350098","6.456368446350098","1580","1580","1580","6.375576496124268","6.375576496124268","6.375576496124268","1580","1580","1580","6.302350997924805","6.302350997924805","6.302350997924805","1580","1580","1580","6.738661766052246","6.738661766052246","6.738661766052246"
"31","1631","1631","1631","6.238736152648926","6.238736152648926","6.238736152648926","1631","1631","1631","6.423173427581787","6.423173427581787","6.423173427581787","1631","1631","1631","6.350501537322998","6.350501537322998","6.350501537322998","1631","1631","1631","6.268040657043457","6.268040657043457","6.268040657043457","1631","1631","1631","6.765092372894287","6.765092372894287","6.765092372894287"
"32","1682","1682","1682","6.217337131500244","6.217337131500244","6.217337131500244","1682","1682","1682","6.414440155029297","6.414440155029297","6.414440155029297","1682","1682","1682","6.362260341644287","6.362260341644287","6.362260341644287","1682","1682","1682","6.258294582366943","6.258294582366943","6.258294582366943","1682","1682","1682","6.7467570304870605","6.7467570304870605","6.7467570304870605"
"33","1733","1733","1733","6.2321858406066895","6.2321858406066895","6.2321858406066895","1733","1733","1733","6.400058269500732","6.400058269500732","6.400058269500732","1733","1733","1733","6.356310844421387","6.356310844421387","6.356310844421387","1733","1733","1733","6.21899938583374","6.21899938583374","6.21899938583374","1733","1733","1733","6.744709491729736","6.744709491729736","6.744709491729736"
"34","1784","1784","1784","6.199173450469971","6.199173450469971","6.199173450469971","1784","1784","1784","6.40786075592041","6.40786075592041","6.40786075592041","1784","1784","1784","6.337640762329102","6.337640762329102","6.337640762329102","1784","1784","1784","6.263796806335449","6.263796806335449","6.263796806335449","1784","1784","1784","6.7356672286987305","6.7356672286987305","6.7356672286987305"
"35","1835","1835","1835","6.198488712310791","6.198488712310791","6.198488712310791","1835","1835","1835","6.3893327713012695","6.3893327713012695","6.3893327713012695","1835","1835","1835","6.341851711273193","6.341851711273193","6.341851711273193","1835","1835","1835","6.242106914520264","6.242106914520264","6.242106914520264","1835","1835","1835","6.750367164611816","6.750367164611816","6.750367164611816"
"36","1886","1886","1886","6.192180633544922","6.192180633544922","6.192180633544922","1886","1886","1886","6.396566390991211","6.396566390991211","6.396566390991211","1886","1886","1886","6.317295074462891","6.317295074462891","6.317295074462891","1886","1886","1886","6.2503228187561035","6.2503228187561035","6.2503228187561035","1886","1886","1886","6.738902568817139","6.738902568817139","6.738902568817139"
"37","1937","1937","1937","6.208582401275635","6.208582401275635","6.208582401275635","1937","1937","1937","6.393190860748291","6.393190860748291","6.393190860748291","1937","1937","1937","6.343008518218994","6.343008518218994","6.343008518218994","1937","1937","1937","6.267894268035889","6.267894268035889","6.267894268035889","1937","1937","1937","6.753122806549072","6.753122806549072","6.753122806549072"
"38","1988","1988","1988","6.178579330444336","6.178579330444336","6.178579330444336","1988","1988","1988","6.392440319061279","6.392440319061279","6.392440319061279","1988","1988","1988","6.314886569976807","6.314886569976807","6.314886569976807","1988","1988","1988","6.215561866760254","6.215561866760254","6.215561866760254","1988","1988","1988","6.733331203460693","6.733331203460693","6.733331203460693"
"39","2039","2039","2039","6.189691543579102","6.189691543579102","6.189691543579102","2039","2039","2039","6.352278709411621","6.352278709411621","6.352278709411621","2039","2039","2039","6.300492286682129","6.300492286682129","6.300492286682129","2039","2039","2039","6.22476863861084","6.22476863861084","6.22476863861084","2039","2039","2039","6.749838352203369","6.749838352203369","6.749838352203369"
"40","2090","2090","2090","6.182499408721924","6.182499408721924","6.182499408721924","2090","2090","2090","6.388090133666992","6.388090133666992","6.388090133666992","2090","2090","2090","6.291631698608398","6.291631698608398","6.291631698608398","2090","2090","2090","6.236506462097168","6.236506462097168","6.236506462097168","2090","2090","2090","6.730867385864258","6.730867385864258","6.730867385864258"
"41","2141","2141","2141","6.186518669128418","6.186518669128418","6.186518669128418","2141","2141","2141","6.365808486938477","6.365808486938477","6.365808486938477","2141","2141","2141","6.320780277252197","6.320780277252197","6.320780277252197","2141","2141","2141","6.202553749084473","6.202553749084473","6.202553749084473","2141","2141","2141","6.751484394073486","6.751484394073486","6.751484394073486"
"42","2192","2192","2192","6.151815891265869","6.151815891265869","6.151815891265869","2192","2192","2192","6.3638434410095215","6.3638434410095215","6.3638434410095215","2192","2192","2192","6.2707366943359375","6.2707366943359375","6.2707366943359375","2192","2192","2192","6.211500644683838","6.211500644683838","6.211500644683838","2192","2192","2192","6.752487659454346","6.752487659454346","6.752487659454346"
"43","2243","2243","2243","6.17468786239624","6.17468786239624","6.17468786239624","2243","2243","2243","6.347967147827148","6.347967147827148","6.347967147827148","2243","2243","2243","6.268435001373291","6.268435001373291","6.268435001373291","2243","2243","2243","6.200109958648682","6.200109958648682","6.200109958648682","2243","2243","2243","6.726433753967285","6.726433753967285","6.726433753967285"
"44","2294","2294","2294","6.147368907928467","6.147368907928467","6.147368907928467","2294","2294","2294","6.35603141784668","6.35603141784668","6.35603141784668","2294","2294","2294","6.271193981170654","6.271193981170654","6.271193981170654","2294","2294","2294","6.214669227600098","6.214669227600098","6.214669227600098","2294","2294","2294","6.731454849243164","6.731454849243164","6.731454849243164"
"45","2345","2345","2345","6.128640651702881","6.128640651702881","6.128640651702881","2345","2345","2345","6.333297252655029","6.333297252655029","6.333297252655029","2345","2345","2345","6.268538475036621","6.268538475036621","6.268538475036621","2345","2345","2345","6.226663112640381","6.226663112640381","6.226663112640381","2345","2345","2345","6.7242937088012695","6.7242937088012695","6.7242937088012695"
"46","2396","2396","2396","6.128704071044922","6.128704071044922","6.128704071044922","2396","2396","2396","6.363617420196533","6.363617420196533","6.363617420196533","2396","2396","2396","6.24303674697876","6.24303674697876","6.24303674697876","2396","2396","2396","6.186545372009277","6.186545372009277","6.186545372009277","2396","2396","2396","6.706126689910889","6.706126689910889","6.706126689910889"
"47","2447","2447","2447","6.126976013183594","6.126976013183594","6.126976013183594","2447","2447","2447","6.33789587020874","6.33789587020874","6.33789587020874","2447","2447","2447","6.236035346984863","6.236035346984863","6.236035346984863","2447","2447","2447","6.198803901672363","6.198803901672363","6.198803901672363","2447","2447","2447","6.716000556945801","6.716000556945801","6.716000556945801"
"48","2498","2498","2498","6.136921405792236","6.136921405792236","6.136921405792236","2498","2498","2498","6.3332672119140625","6.3332672119140625","6.3332672119140625","2498","2498","2498","6.238884449005127","6.238884449005127","6.238884449005127","2498","2498","2498","6.191737651824951","6.191737651824951","6.191737651824951","2498","2498","2498","6.702417373657227","6.702417373657227","6.702417373657227"
"49","2549","2549","2549","6.131936550140381","6.131936550140381","6.131936550140381","2549","2549","2549","6.3104939460754395","6.3104939460754395","6.3104939460754395","2549","2549","2549","6.2487969398498535","6.2487969398498535","6.2487969398498535","2549","2549","2549","6.196074485778809","6.196074485778809","6.196074485778809","2549","2549","2549","6.731375694274902","6.731375694274902","6.731375694274902"
"50","2600","2600","2600","6.112971305847168","6.112971305847168","6.112971305847168","2600","2600","2600","6.328875541687012","6.328875541687012","6.328875541687012","2600","2600","2600","6.220526695251465","6.220526695251465","6.220526695251465","2600","2600","2600","6.180238246917725","6.180238246917725","6.180238246917725","2600","2600","2600","6.719279766082764","6.719279766082764","6.719279766082764"
"51","2651","2651","2651","6.0865302085876465","6.0865302085876465","6.0865302085876465","2651","2651","2651","6.295956134796143","6.295956134796143","6.295956134796143","2651","2651","2651","6.216494560241699","6.216494560241699","6.216494560241699","2651","2651","2651","6.188187599182129","6.188187599182129","6.188187599182129","2651","2651","2651","6.709286689758301","6.709286689758301","6.709286689758301"
"52","2702","2702","2702","6.075641632080078","6.075641632080078","6.075641632080078","2702","2702","2702","6.294319152832031","6.294319152832031","6.294319152832031","2702","2702","2702","6.196813106536865","6.196813106536865","6.196813106536865","2702","2702","2702","6.177778720855713","6.177778720855713","6.177778720855713","2702","2702","2702","6.725954055786133","6.725954055786133","6.725954055786133"
"53","2753","2753","2753","6.087753772735596","6.087753772735596","6.087753772735596","2753","2753","2753","6.290861129760742","6.290861129760742","6.290861129760742","2753","2753","2753","6.20147180557251","6.20147180557251","6.20147180557251","2753","2753","2753","6.171456813812256","6.171456813812256","6.171456813812256","2753","2753","2753","6.716466426849365","6.716466426849365","6.716466426849365"
"54","2804","2804","2804","6.086145401000977","6.086145401000977","6.086145401000977","2804","2804","2804","6.300601482391357","6.300601482391357","6.300601482391357","2804","2804","2804","6.217554092407227","6.217554092407227","6.217554092407227","2804","2804","2804","6.165774345397949","6.165774345397949","6.165774345397949","2804","2804","2804","6.727392196655273","6.727392196655273","6.727392196655273"
"55","2855","2855","2855","6.066677093505859","6.066677093505859","6.066677093505859","2855","2855","2855","6.281819820404053","6.281819820404053","6.281819820404053","2855","2855","2855","6.16580057144165","6.16580057144165","6.16580057144165","2855","2855","2855","6.156470775604248","6.156470775604248","6.156470775604248","2855","2855","2855","6.712490081787109","6.712490081787109","6.712490081787109"
"56","2906","2906","2906","6.068150520324707","6.068150520324707","6.068150520324707","2906","2906","2906","6.296024322509766","6.296024322509766","6.296024322509766","2906","2906","2906","6.187924385070801","6.187924385070801","6.187924385070801","2906","2906","2906","6.149746894836426","6.149746894836426","6.149746894836426","2906","2906","2906","6.692264080047607","6.692264080047607","6.692264080047607"
"57","2957","2957","2957","6.067002773284912","6.067002773284912","6.067002773284912","2957","2957","2957","6.284114360809326","6.284114360809326","6.284114360809326","2957","2957","2957","6.187284469604492","6.187284469604492","6.187284469604492","2957","2957","2957","6.173859119415283","6.173859119415283","6.173859119415283","2957","2957","2957","6.704089164733887","6.704089164733887","6.704089164733887"
"58","3008","3008","3008","6.060695171356201","6.060695171356201","6.060695171356201","3008","3008","3008","6.2983574867248535","6.2983574867248535","6.2983574867248535","3008","3008","3008","6.16901159286499","6.16901159286499","6.16901159286499","3008","3008","3008","6.156695365905762","6.156695365905762","6.156695365905762","3008","3008","3008","6.698855400085449","6.698855400085449","6.698855400085449"
"59","3059","3059","3059","6.0666890144348145","6.0666890144348145","6.0666890144348145","3059","3059","3059","6.286384582519531","6.286384582519531","6.286384582519531","3059","3059","3059","6.155545234680176","6.155545234680176","6.155545234680176","3059","3059","3059","6.161913871765137","6.161913871765137","6.161913871765137","3059","3059","3059","6.702104568481445","6.702104568481445","6.702104568481445"
"60","3110","3110","3110","6.080582141876221","6.080582141876221","6.080582141876221","3110","3110","3110","6.258923530578613","6.258923530578613","6.258923530578613","3110","3110","3110","6.19008731842041","6.19008731842041","6.19008731842041","3110","3110","3110","6.151463508605957","6.151463508605957","6.151463508605957","3110","3110","3110","6.725439071655273","6.725439071655273","6.725439071655273"
"61","3161","3161","3161","6.052157878875732","6.052157878875732","6.052157878875732","3161","3161","3161","6.280638217926025","6.280638217926025","6.280638217926025","3161","3161","3161","6.174654960632324","6.174654960632324","6.174654960632324","3161","3161","3161","6.140024185180664","6.140024185180664","6.140024185180664","3161","3161","3161","6.699909210205078","6.699909210205078","6.699909210205078"
"62","3212","3212","3212","6.040640830993652","6.040640830993652","6.040640830993652","3212","3212","3212","6.260542392730713","6.260542392730713","6.260542392730713","3212","3212","3212","6.13225793838501","6.13225793838501","6.13225793838501","3212","3212","3212","6.148608684539795","6.148608684539795","6.148608684539795","3212","3212","3212","6.705111026763916","6.705111026763916","6.705111026763916"
"63","3263","3263","3263","6.044006824493408","6.044006824493408","6.044006824493408","3263","3263","3263","6.272036075592041","6.272036075592041","6.272036075592041","3263","3263","3263","6.143013000488281","6.143013000488281","6.143013000488281","3263","3263","3263","6.167952537536621","6.167952537536621","6.167952537536621","3263","3263","3263","6.71432638168335","6.71432638168335","6.71432638168335"
"64","3314","3314","3314","6.046985149383545","6.046985149383545","6.046985149383545","3314","3314","3314","6.254268169403076","6.254268169403076","6.254268169403076","3314","3314","3314","6.144825458526611","6.144825458526611","6.144825458526611","3314","3314","3314","6.135181427001953","6.135181427001953","6.135181427001953","3314","3314","3314","6.693668842315674","6.693668842315674","6.693668842315674"
"65","3365","3365","3365","6.031235694885254","6.031235694885254","6.031235694885254","3365","3365","3365","6.239353179931641","6.239353179931641","6.239353179931641","3365","3365","3365","6.16304349899292","6.16304349899292","6.16304349899292","3365","3365","3365","6.131447792053223","6.131447792053223","6.131447792053223","3365","3365","3365","6.703178882598877","6.703178882598877","6.703178882598877"
"66","3416","3416","3416","6.035318374633789","6.035318374633789","6.035318374633789","3416","3416","3416","6.2485785484313965","6.2485785484313965","6.2485785484313965","3416","3416","3416","6.141471862792969","6.141471862792969","6.141471862792969","3416","3416","3416","6.127513885498047","6.127513885498047","6.127513885498047","3416","3416","3416","6.696979522705078","6.696979522705078","6.696979522705078"
"67","3467","3467","3467","6.020312786102295","6.020312786102295","6.020312786102295","3467","3467","3467","6.252239227294922","6.252239227294922","6.252239227294922","3467","3467","3467","6.127085208892822","6.127085208892822","6.127085208892822","3467","3467","3467","6.128153324127197","6.128153324127197","6.128153324127197","3467","3467","3467","6.712644577026367","6.712644577026367","6.712644577026367"
"68","3518","3518","3518","6.020492076873779","6.020492076873779","6.020492076873779","3518","3518","3518","6.2499494552612305","6.2499494552612305","6.2499494552612305","3518","3518","3518","6.124136447906494","6.124136447906494","6.124136447906494","3518","3518","3518","6.120087623596191","6.120087623596191","6.120087623596191","3518","3518","3518","6.696660995483398","6.696660995483398","6.696660995483398"
"69","3569","3569","3569","6.019482135772705","6.019482135772705","6.019482135772705","3569","3569","3569","6.234210014343262","6.234210014343262","6.234210014343262","3569","3569","3569","6.103240013122559","6.103240013122559","6.103240013122559","3569","3569","3569","6.124354839324951","6.124354839324951","6.124354839324951","3569","3569","3569","6.702939033508301","6.702939033508301","6.702939033508301"
"70","3620","3620","3620","6.024229049682617","6.024229049682617","6.024229049682617","3620","3620","3620","6.239180564880371","6.239180564880371","6.239180564880371","3620","3620","3620","6.151679039001465","6.151679039001465","6.151679039001465","3620","3620","3620","6.1223578453063965","6.1223578453063965","6.1223578453063965","3620","3620","3620","6.698929786682129","6.698929786682129","6.698929786682129"
"71","3671","3671","3671","5.999326705932617","5.999326705932617","5.999326705932617","3671","3671","3671","6.225869655609131","6.225869655609131","6.225869655609131","3671","3671","3671","6.099776744842529","6.099776744842529","6.099776744842529","3671","3671","3671","6.128864288330078","6.128864288330078","6.128864288330078","3671","3671","3671","6.6994476318359375","6.6994476318359375","6.6994476318359375"
