"epoch","new_k5_org_svoA5k_YJ_20231126T023922 - _step","new_k5_org_svoA5k_YJ_20231126T023922 - _step__MIN","new_k5_org_svoA5k_YJ_20231126T023922 - _step__MAX","new_k5_org_svoA5k_YJ_20231126T023922 - val_avg_reward","new_k5_org_svoA5k_YJ_20231126T023922 - val_avg_reward__MIN","new_k5_org_svoA5k_YJ_20231126T023922 - val_avg_reward__MAX","new_k20_org_svoA5k_YJ_20231126T023922 - _step","new_k20_org_svoA5k_YJ_20231126T023922 - _step__MIN","new_k20_org_svoA5k_YJ_20231126T023922 - _step__MAX","new_k20_org_svoA5k_YJ_20231126T023922 - val_avg_reward","new_k20_org_svoA5k_YJ_20231126T023922 - val_avg_reward__MIN","new_k20_org_svoA5k_YJ_20231126T023922 - val_avg_reward__MAX","new_k20_rel_svoA5k_YJ_20231124T215227 - _step","new_k20_rel_svoA5k_YJ_20231124T215227 - _step__MIN","new_k20_rel_svoA5k_YJ_20231124T215227 - _step__MAX","new_k20_rel_svoA5k_YJ_20231124T215227 - val_avg_reward","new_k20_rel_svoA5k_YJ_20231124T215227 - val_avg_reward__MIN","new_k20_rel_svoA5k_YJ_20231124T215227 - val_avg_reward__MAX","new_k5_rel_fast_svoA5k_YJ_20231124T191507 - _step","new_k5_rel_fast_svoA5k_YJ_20231124T191507 - _step__MIN","new_k5_rel_fast_svoA5k_YJ_20231124T191507 - _step__MAX","new_k5_rel_fast_svoA5k_YJ_20231124T191507 - val_avg_reward","new_k5_rel_fast_svoA5k_YJ_20231124T191507 - val_avg_reward__MIN","new_k5_rel_fast_svoA5k_YJ_20231124T191507 - val_avg_reward__MAX","k0_rel_svoA5k_YJ_20231123T021820 - _step","k0_rel_svoA5k_YJ_20231123T021820 - _step__MIN","k0_rel_svoA5k_YJ_20231123T021820 - _step__MAX","k0_rel_svoA5k_YJ_20231123T021820 - val_avg_reward","k0_rel_svoA5k_YJ_20231123T021820 - val_avg_reward__MIN","k0_rel_svoA5k_YJ_20231123T021820 - val_avg_reward__MAX"
"16","866","866","866","9.67836856842041","9.67836856842041","9.67836856842041","866","866","866","9.817850112915039","9.817850112915039","9.817850112915039","866","866","866","9.762234687805176","9.762234687805176","9.762234687805176","866","866","866","9.654695510864258","9.654695510864258","9.654695510864258","866","866","866","9.626855850219727","9.626855850219727","9.626855850219727"
"17","917","917","917","9.606011390686035","9.606011390686035","9.606011390686035","917","917","917","9.770275115966797","9.770275115966797","9.770275115966797","917","917","917","9.648723602294922","9.648723602294922","9.648723602294922","917","917","917","9.61532974243164","9.61532974243164","9.61532974243164","917","917","917","9.621739387512207","9.621739387512207","9.621739387512207"
"18","968","968","968","9.609981536865234","9.609981536865234","9.609981536865234","968","968","968","9.747703552246094","9.747703552246094","9.747703552246094","968","968","968","9.680387496948242","9.680387496948242","9.680387496948242","968","968","968","9.599382400512695","9.599382400512695","9.599382400512695","968","968","968","9.597481727600098","9.597481727600098","9.597481727600098"
"19","1019","1019","1019","9.636311531066895","9.636311531066895","9.636311531066895","1019","1019","1019","9.804657936096191","9.804657936096191","9.804657936096191","1019","1019","1019","9.691086769104004","9.691086769104004","9.691086769104004","1019","1019","1019","9.603852272033691","9.603852272033691","9.603852272033691","1019","1019","1019","9.625775337219238","9.625775337219238","9.625775337219238"
"20","1070","1070","1070","9.591842651367188","9.591842651367188","9.591842651367188","1070","1070","1070","9.718816757202148","9.718816757202148","9.718816757202148","1070","1070","1070","9.662466049194336","9.662466049194336","9.662466049194336","1070","1070","1070","9.615620613098145","9.615620613098145","9.615620613098145","1070","1070","1070","9.634180068969727","9.634180068969727","9.634180068969727"
"21","1121","1121","1121","9.582636833190918","9.582636833190918","9.582636833190918","1121","1121","1121","9.745559692382812","9.745559692382812","9.745559692382812","1121","1121","1121","9.65345287322998","9.65345287322998","9.65345287322998","1121","1121","1121","9.613592147827148","9.613592147827148","9.613592147827148","1121","1121","1121","9.603968620300293","9.603968620300293","9.603968620300293"
"22","1172","1172","1172","9.568943977355957","9.568943977355957","9.568943977355957","1172","1172","1172","9.708898544311523","9.708898544311523","9.708898544311523","1172","1172","1172","9.684685707092285","9.684685707092285","9.684685707092285","1172","1172","1172","9.577937126159668","9.577937126159668","9.577937126159668","1172","1172","1172","9.579574584960938","9.579574584960938","9.579574584960938"
"23","1223","1223","1223","9.552621841430664","9.552621841430664","9.552621841430664","1223","1223","1223","9.684889793395996","9.684889793395996","9.684889793395996","1223","1223","1223","9.630974769592285","9.630974769592285","9.630974769592285","1223","1223","1223","9.551267623901367","9.551267623901367","9.551267623901367","1223","1223","1223","9.596158981323242","9.596158981323242","9.596158981323242"
"24","1274","1274","1274","9.599935531616211","9.599935531616211","9.599935531616211","1274","1274","1274","9.696690559387207","9.696690559387207","9.696690559387207","1274","1274","1274","9.619236946105957","9.619236946105957","9.619236946105957","1274","1274","1274","9.5936918258667","9.5936918258667","9.5936918258667","1274","1274","1274","9.528919219970703","9.528919219970703","9.528919219970703"
"25","1325","1325","1325","9.538028717041016","9.538028717041016","9.538028717041016","1325","1325","1325","9.696325302124023","9.696325302124023","9.696325302124023","1325","1325","1325","9.583693504333496","9.583693504333496","9.583693504333496","1325","1325","1325","9.61059856414795","9.61059856414795","9.61059856414795","1325","1325","1325","9.559560775756836","9.559560775756836","9.559560775756836"
"26","1376","1376","1376","9.505759239196777","9.505759239196777","9.505759239196777","1376","1376","1376","9.671281814575195","9.671281814575195","9.671281814575195","1376","1376","1376","9.617927551269531","9.617927551269531","9.617927551269531","1376","1376","1376","9.59957218170166","9.59957218170166","9.59957218170166","1376","1376","1376","9.543121337890625","9.543121337890625","9.543121337890625"
"27","1427","1427","1427","9.53974723815918","9.53974723815918","9.53974723815918","1427","1427","1427","9.661456108093262","9.661456108093262","9.661456108093262","1427","1427","1427","9.561201095581055","9.561201095581055","9.561201095581055","1427","1427","1427","9.551714897155762","9.551714897155762","9.551714897155762","1427","1427","1427","9.560956954956055","9.560956954956055","9.560956954956055"
"28","1478","1478","1478","9.547439575195312","9.547439575195312","9.547439575195312","1478","1478","1478","9.630805969238281","9.630805969238281","9.630805969238281","1478","1478","1478","9.610026359558105","9.610026359558105","9.610026359558105","1478","1478","1478","9.550064086914062","9.550064086914062","9.550064086914062","1478","1478","1478","9.528128623962402","9.528128623962402","9.528128623962402"
"29","1529","1529","1529","9.501240730285645","9.501240730285645","9.501240730285645","1529","1529","1529","9.621675491333008","9.621675491333008","9.621675491333008","1529","1529","1529","9.590615272521973","9.590615272521973","9.590615272521973","1529","1529","1529","9.535489082336426","9.535489082336426","9.535489082336426","1529","1529","1529","9.541834831237793","9.541834831237793","9.541834831237793"
"30","1580","1580","1580","9.519700050354004","9.519700050354004","9.519700050354004","1580","1580","1580","9.645365715026855","9.645365715026855","9.645365715026855","1580","1580","1580","9.58800220489502","9.58800220489502","9.58800220489502","1580","1580","1580","9.541157722473145","9.541157722473145","9.541157722473145","1580","1580","1580","9.56204891204834","9.56204891204834","9.56204891204834"
"31","1631","1631","1631","9.528306007385254","9.528306007385254","9.528306007385254","1631","1631","1631","9.600166320800781","9.600166320800781","9.600166320800781","1631","1631","1631","9.547347068786621","9.547347068786621","9.547347068786621","1631","1631","1631","9.557258605957031","9.557258605957031","9.557258605957031","1631","1631","1631","9.51499080657959","9.51499080657959","9.51499080657959"
"32","1682","1682","1682","9.546954154968262","9.546954154968262","9.546954154968262","1682","1682","1682","9.609037399291992","9.609037399291992","9.609037399291992","1682","1682","1682","9.568230628967285","9.568230628967285","9.568230628967285","1682","1682","1682","9.554726600646973","9.554726600646973","9.554726600646973","1682","1682","1682","9.542730331420898","9.542730331420898","9.542730331420898"
"33","1733","1733","1733","9.492740631103516","9.492740631103516","9.492740631103516","1733","1733","1733","9.655662536621094","9.655662536621094","9.655662536621094","1733","1733","1733","9.538861274719238","9.538861274719238","9.538861274719238","1733","1733","1733","9.534196853637695","9.534196853637695","9.534196853637695","1733","1733","1733","9.507594108581543","9.507594108581543","9.507594108581543"
"34","1784","1784","1784","9.514632225036621","9.514632225036621","9.514632225036621","1784","1784","1784","9.605852127075195","9.605852127075195","9.605852127075195","1784","1784","1784","9.545093536376953","9.545093536376953","9.545093536376953","1784","1784","1784","9.538174629211426","9.538174629211426","9.538174629211426","1784","1784","1784","9.527606964111328","9.527606964111328","9.527606964111328"
"35","1835","1835","1835","9.479204177856445","9.479204177856445","9.479204177856445","1835","1835","1835","9.569656372070312","9.569656372070312","9.569656372070312","1835","1835","1835","9.540172576904297","9.540172576904297","9.540172576904297","1835","1835","1835","9.525392532348633","9.525392532348633","9.525392532348633","1835","1835","1835","9.513925552368164","9.513925552368164","9.513925552368164"
"36","1886","1886","1886","9.489134788513184","9.489134788513184","9.489134788513184","1886","1886","1886","9.597333908081055","9.597333908081055","9.597333908081055","1886","1886","1886","9.506613731384277","9.506613731384277","9.506613731384277","1886","1886","1886","9.470541000366211","9.470541000366211","9.470541000366211","1886","1886","1886","9.491183280944824","9.491183280944824","9.491183280944824"
"37","1937","1937","1937","9.492263793945312","9.492263793945312","9.492263793945312","1937","1937","1937","9.617542266845703","9.617542266845703","9.617542266845703","1937","1937","1937","9.525932312011719","9.525932312011719","9.525932312011719","1937","1937","1937","9.506338119506836","9.506338119506836","9.506338119506836","1937","1937","1937","9.49209213256836","9.49209213256836","9.49209213256836"
"38","1988","1988","1988","9.471298217773438","9.471298217773438","9.471298217773438","1988","1988","1988","9.593900680541992","9.593900680541992","9.593900680541992","1988","1988","1988","9.54164981842041","9.54164981842041","9.54164981842041","1988","1988","1988","9.534079551696777","9.534079551696777","9.534079551696777","1988","1988","1988","9.508987426757812","9.508987426757812","9.508987426757812"
"39","2039","2039","2039","9.486698150634766","9.486698150634766","9.486698150634766","2039","2039","2039","9.566278457641602","9.566278457641602","9.566278457641602","2039","2039","2039","9.514932632446289","9.514932632446289","9.514932632446289","2039","2039","2039","9.519097328186035","9.519097328186035","9.519097328186035","2039","2039","2039","9.48740005493164","9.48740005493164","9.48740005493164"
"40","2090","2090","2090","9.50473403930664","9.50473403930664","9.50473403930664","2090","2090","2090","9.552644729614258","9.552644729614258","9.552644729614258","2090","2090","2090","9.499378204345703","9.499378204345703","9.499378204345703","2090","2090","2090","9.491971969604492","9.491971969604492","9.491971969604492","2090","2090","2090","9.481782913208008","9.481782913208008","9.481782913208008"
"41","2141","2141","2141","9.472678184509277","9.472678184509277","9.472678184509277","2141","2141","2141","9.560261726379395","9.560261726379395","9.560261726379395","2141","2141","2141","9.49976921081543","9.49976921081543","9.49976921081543","2141","2141","2141","9.482169151306152","9.482169151306152","9.482169151306152","2141","2141","2141","9.484153747558594","9.484153747558594","9.484153747558594"
"42","2192","2192","2192","9.442005157470703","9.442005157470703","9.442005157470703","2192","2192","2192","9.554718971252441","9.554718971252441","9.554718971252441","2192","2192","2192","9.52204418182373","9.52204418182373","9.52204418182373","2192","2192","2192","9.502769470214844","9.502769470214844","9.502769470214844","2192","2192","2192","9.50068187713623","9.50068187713623","9.50068187713623"
"43","2243","2243","2243","9.466134071350098","9.466134071350098","9.466134071350098","2243","2243","2243","9.603608131408691","9.603608131408691","9.603608131408691","2243","2243","2243","9.487661361694336","9.487661361694336","9.487661361694336","2243","2243","2243","9.45983600616455","9.45983600616455","9.45983600616455","2243","2243","2243","9.49677562713623","9.49677562713623","9.49677562713623"
"44","2294","2294","2294","9.476975440979004","9.476975440979004","9.476975440979004","2294","2294","2294","9.524500846862793","9.524500846862793","9.524500846862793","2294","2294","2294","9.5186185836792","9.5186185836792","9.5186185836792","2294","2294","2294","9.510796546936035","9.510796546936035","9.510796546936035","2294","2294","2294","9.479803085327148","9.479803085327148","9.479803085327148"
"45","2345","2345","2345","9.43101692199707","9.43101692199707","9.43101692199707","2345","2345","2345","9.535017013549805","9.535017013549805","9.535017013549805","2345","2345","2345","9.50910758972168","9.50910758972168","9.50910758972168","2345","2345","2345","9.479445457458496","9.479445457458496","9.479445457458496","2345","2345","2345","9.448546409606934","9.448546409606934","9.448546409606934"
"46","2396","2396","2396","9.466584205627441","9.466584205627441","9.466584205627441","2396","2396","2396","9.534046173095703","9.534046173095703","9.534046173095703","2396","2396","2396","9.55837631225586","9.55837631225586","9.55837631225586","2396","2396","2396","9.490958213806152","9.490958213806152","9.490958213806152","2396","2396","2396","9.437592506408691","9.437592506408691","9.437592506408691"
"47","2447","2447","2447","9.473684310913086","9.473684310913086","9.473684310913086","2447","2447","2447","9.531815528869629","9.531815528869629","9.531815528869629","2447","2447","2447","9.484034538269043","9.484034538269043","9.484034538269043","2447","2447","2447","9.502378463745117","9.502378463745117","9.502378463745117","2447","2447","2447","9.472850799560547","9.472850799560547","9.472850799560547"
"48","2498","2498","2498","9.476348876953125","9.476348876953125","9.476348876953125","2498","2498","2498","9.512282371520996","9.512282371520996","9.512282371520996","2498","2498","2498","9.482255935668945","9.482255935668945","9.482255935668945","2498","2498","2498","9.485308647155762","9.485308647155762","9.485308647155762","2498","2498","2498","9.452181816101074","9.452181816101074","9.452181816101074"
"49","2549","2549","2549","9.443405151367188","9.443405151367188","9.443405151367188","2549","2549","2549","9.525282859802246","9.525282859802246","9.525282859802246","2549","2549","2549","9.486486434936523","9.486486434936523","9.486486434936523","2549","2549","2549","9.46431827545166","9.46431827545166","9.46431827545166","2549","2549","2549","9.451757431030273","9.451757431030273","9.451757431030273"
"50","2600","2600","2600","9.42686653137207","9.42686653137207","9.42686653137207","2600","2600","2600","9.511962890625","9.511962890625","9.511962890625","2600","2600","2600","9.483702659606934","9.483702659606934","9.483702659606934","2600","2600","2600","9.458890914916992","9.458890914916992","9.458890914916992","2600","2600","2600","9.491656303405762","9.491656303405762","9.491656303405762"
"51","2651","2651","2651","9.417603492736816","9.417603492736816","9.417603492736816","2651","2651","2651","9.519664764404297","9.519664764404297","9.519664764404297","2651","2651","2651","9.476508140563965","9.476508140563965","9.476508140563965","2651","2651","2651","9.448802947998047","9.448802947998047","9.448802947998047","2651","2651","2651","9.441170692443848","9.441170692443848","9.441170692443848"
"52","2702","2702","2702","9.44891357421875","9.44891357421875","9.44891357421875","2702","2702","2702","9.498857498168945","9.498857498168945","9.498857498168945","2702","2702","2702","9.495148658752441","9.495148658752441","9.495148658752441","2702","2702","2702","9.488123893737793","9.488123893737793","9.488123893737793","2702","2702","2702","9.457371711730957","9.457371711730957","9.457371711730957"
"53","2753","2753","2753","9.435798645019531","9.435798645019531","9.435798645019531","2753","2753","2753","9.499290466308594","9.499290466308594","9.499290466308594","2753","2753","2753","9.475406646728516","9.475406646728516","9.475406646728516","2753","2753","2753","9.442808151245117","9.442808151245117","9.442808151245117","2753","2753","2753","9.437938690185547","9.437938690185547","9.437938690185547"
"54","2804","2804","2804","9.424002647399902","9.424002647399902","9.424002647399902","2804","2804","2804","9.511092185974121","9.511092185974121","9.511092185974121","2804","2804","2804","9.492305755615234","9.492305755615234","9.492305755615234","2804","2804","2804","9.467459678649902","9.467459678649902","9.467459678649902","2804","2804","2804","9.427611351013184","9.427611351013184","9.427611351013184"
"55","2855","2855","2855","9.426807403564453","9.426807403564453","9.426807403564453","2855","2855","2855","9.505255699157715","9.505255699157715","9.505255699157715","2855","2855","2855","9.473223686218262","9.473223686218262","9.473223686218262","2855","2855","2855","9.429737091064453","9.429737091064453","9.429737091064453","2855","2855","2855","9.45495891571045","9.45495891571045","9.45495891571045"
"56","2906","2906","2906","9.487252235412598","9.487252235412598","9.487252235412598","2906","2906","2906","9.466148376464844","9.466148376464844","9.466148376464844","2906","2906","2906","9.480696678161621","9.480696678161621","9.480696678161621","2906","2906","2906","9.432978630065918","9.432978630065918","9.432978630065918","2906","2906","2906","9.43922233581543","9.43922233581543","9.43922233581543"
"57","2957","2957","2957","9.407559394836426","9.407559394836426","9.407559394836426","2957","2957","2957","9.487258911132812","9.487258911132812","9.487258911132812","2957","2957","2957","9.478501319885254","9.478501319885254","9.478501319885254","2957","2957","2957","9.443720817565918","9.443720817565918","9.443720817565918","2957","2957","2957","9.412425994873047","9.412425994873047","9.412425994873047"
"58","3008","3008","3008","9.418201446533203","9.418201446533203","9.418201446533203","3008","3008","3008","9.467486381530762","9.467486381530762","9.467486381530762","3008","3008","3008","9.466169357299805","9.466169357299805","9.466169357299805","3008","3008","3008","9.417266845703125","9.417266845703125","9.417266845703125","3008","3008","3008","9.410022735595703","9.410022735595703","9.410022735595703"
"59","3059","3059","3059","9.404397964477539","9.404397964477539","9.404397964477539","3059","3059","3059","9.460885047912598","9.460885047912598","9.460885047912598","3059","3059","3059","9.461784362792969","9.461784362792969","9.461784362792969","3059","3059","3059","9.43942928314209","9.43942928314209","9.43942928314209","3059","3059","3059","9.416290283203125","9.416290283203125","9.416290283203125"
"60","3110","3110","3110","9.404074668884277","9.404074668884277","9.404074668884277","3110","3110","3110","9.4921875","9.4921875","9.4921875","3110","3110","3110","9.446087837219238","9.446087837219238","9.446087837219238","3110","3110","3110","9.420736312866211","9.420736312866211","9.420736312866211","3110","3110","3110","9.413068771362305","9.413068771362305","9.413068771362305"
"61","3161","3161","3161","9.418752670288086","9.418752670288086","9.418752670288086","3161","3161","3161","9.467581748962402","9.467581748962402","9.467581748962402","3161","3161","3161","9.447966575622559","9.447966575622559","9.447966575622559","3161","3161","3161","9.42951488494873","9.42951488494873","9.42951488494873","3161","3161","3161","9.408164024353027","9.408164024353027","9.408164024353027"
"62","3212","3212","3212","9.400175094604492","9.400175094604492","9.400175094604492","3212","3212","3212","9.478920936584473","9.478920936584473","9.478920936584473","3212","3212","3212","9.474918365478516","9.474918365478516","9.474918365478516","3212","3212","3212","9.423624992370605","9.423624992370605","9.423624992370605","3212","3212","3212","9.41144847869873","9.41144847869873","9.41144847869873"
"63","3263","3263","3263","9.414185523986816","9.414185523986816","9.414185523986816","3263","3263","3263","9.441150665283203","9.441150665283203","9.441150665283203","3263","3263","3263","9.457045555114746","9.457045555114746","9.457045555114746","3263","3263","3263","9.45412540435791","9.45412540435791","9.45412540435791","3263","3263","3263","9.455862045288086","9.455862045288086","9.455862045288086"
"64","3314","3314","3314","9.427789688110352","9.427789688110352","9.427789688110352","3314","3314","3314","9.444602012634277","9.444602012634277","9.444602012634277","3314","3314","3314","9.45681381225586","9.45681381225586","9.45681381225586","3314","3314","3314","9.436027526855469","9.436027526855469","9.436027526855469","3314","3314","3314","9.42379093170166","9.42379093170166","9.42379093170166"
"65","3365","3365","3365","9.422698020935059","9.422698020935059","9.422698020935059","3365","3365","3365","9.474693298339844","9.474693298339844","9.474693298339844","3365","3365","3365","9.467823028564453","9.467823028564453","9.467823028564453","3365","3365","3365","9.441107749938965","9.441107749938965","9.441107749938965","3365","3365","3365","9.396342277526855","9.396342277526855","9.396342277526855"
"66","3416","3416","3416","9.40725040435791","9.40725040435791","9.40725040435791","3416","3416","3416","9.437134742736816","9.437134742736816","9.437134742736816","3416","3416","3416","9.441581726074219","9.441581726074219","9.441581726074219","3416","3416","3416","9.471686363220215","9.471686363220215","9.471686363220215","3416","3416","3416","9.41655158996582","9.41655158996582","9.41655158996582"
"67","3467","3467","3467","9.424487113952637","9.424487113952637","9.424487113952637","3467","3467","3467","9.448287010192871","9.448287010192871","9.448287010192871","3467","3467","3467","9.446032524108887","9.446032524108887","9.446032524108887","3467","3467","3467","9.428675651550293","9.428675651550293","9.428675651550293","3467","3467","3467","9.386902809143066","9.386902809143066","9.386902809143066"
"68","3518","3518","3518","9.396960258483887","9.396960258483887","9.396960258483887","3518","3518","3518","9.442198753356934","9.442198753356934","9.442198753356934","3518","3518","3518","9.440831184387207","9.440831184387207","9.440831184387207","3518","3518","3518","9.430464744567871","9.430464744567871","9.430464744567871","3518","3518","3518","9.381953239440918","9.381953239440918","9.381953239440918"
"69","3569","3569","3569","9.413376808166504","9.413376808166504","9.413376808166504","3569","3569","3569","9.45571517944336","9.45571517944336","9.45571517944336","3569","3569","3569","9.47029972076416","9.47029972076416","9.47029972076416","3569","3569","3569","9.418264389038086","9.418264389038086","9.418264389038086","3569","3569","3569","9.401579856872559","9.401579856872559","9.401579856872559"
"70","3620","3620","3620","9.434052467346191","9.434052467346191","9.434052467346191","3620","3620","3620","9.457473754882812","9.457473754882812","9.457473754882812","3620","3620","3620","9.433555603027344","9.433555603027344","9.433555603027344","3620","3620","3620","9.421587944030762","9.421587944030762","9.421587944030762","3620","3620","3620","9.389043807983398","9.389043807983398","9.389043807983398"
"71","3671","3671","3671","9.414933204650879","9.414933204650879","9.414933204650879","3671","3671","3671","9.42813491821289","9.42813491821289","9.42813491821289","3671","3671","3671","9.427888870239258","9.427888870239258","9.427888870239258","3671","3671","3671","9.403741836547852","9.403741836547852","9.403741836547852","3671","3671","3671","9.377262115478516","9.377262115478516","9.377262115478516"
