"epoch","new_k10_org_svo2080_YJ_20231124T214720 - _step","new_k10_org_svo2080_YJ_20231124T214720 - _step__MIN","new_k10_org_svo2080_YJ_20231124T214720 - _step__MAX","new_k10_org_svo2080_YJ_20231124T214720 - val_avg_reward","new_k10_org_svo2080_YJ_20231124T214720 - val_avg_reward__MIN","new_k10_org_svo2080_YJ_20231124T214720 - val_avg_reward__MAX","new_k10_rel_svo2080_YJ_20231124T214648 - _step","new_k10_rel_svo2080_YJ_20231124T214648 - _step__MIN","new_k10_rel_svo2080_YJ_20231124T214648 - _step__MAX","new_k10_rel_svo2080_YJ_20231124T214648 - val_avg_reward","new_k10_rel_svo2080_YJ_20231124T214648 - val_avg_reward__MIN","new_k10_rel_svo2080_YJ_20231124T214648 - val_avg_reward__MAX","new_k20_org_svo2080_YJ_20231124T214616 - _step","new_k20_org_svo2080_YJ_20231124T214616 - _step__MIN","new_k20_org_svo2080_YJ_20231124T214616 - _step__MAX","new_k20_org_svo2080_YJ_20231124T214616 - val_avg_reward","new_k20_org_svo2080_YJ_20231124T214616 - val_avg_reward__MIN","new_k20_org_svo2080_YJ_20231124T214616 - val_avg_reward__MAX","new_k20_rel_svo2080_YJ_20231124T214554 - _step","new_k20_rel_svo2080_YJ_20231124T214554 - _step__MIN","new_k20_rel_svo2080_YJ_20231124T214554 - _step__MAX","new_k20_rel_svo2080_YJ_20231124T214554 - val_avg_reward","new_k20_rel_svo2080_YJ_20231124T214554 - val_avg_reward__MIN","new_k20_rel_svo2080_YJ_20231124T214554 - val_avg_reward__MAX","new_k20_org_onlyD_svo2080_YJ_20231124T171947 - _step","new_k20_org_onlyD_svo2080_YJ_20231124T171947 - _step__MIN","new_k20_org_onlyD_svo2080_YJ_20231124T171947 - _step__MAX","new_k20_org_onlyD_svo2080_YJ_20231124T171947 - val_avg_reward","new_k20_org_onlyD_svo2080_YJ_20231124T171947 - val_avg_reward__MIN","new_k20_org_onlyD_svo2080_YJ_20231124T171947 - val_avg_reward__MAX","new_k3_rel_svo2080_YJ_20231124T165906 - _step","new_k3_rel_svo2080_YJ_20231124T165906 - _step__MIN","new_k3_rel_svo2080_YJ_20231124T165906 - _step__MAX","new_k3_rel_svo2080_YJ_20231124T165906 - val_avg_reward","new_k3_rel_svo2080_YJ_20231124T165906 - val_avg_reward__MIN","new_k3_rel_svo2080_YJ_20231124T165906 - val_avg_reward__MAX","new_k3_org_svo2080_YJ_20231124T165906 - _step","new_k3_org_svo2080_YJ_20231124T165906 - _step__MIN","new_k3_org_svo2080_YJ_20231124T165906 - _step__MAX","new_k3_org_svo2080_YJ_20231124T165906 - val_avg_reward","new_k3_org_svo2080_YJ_20231124T165906 - val_avg_reward__MIN","new_k3_org_svo2080_YJ_20231124T165906 - val_avg_reward__MAX","ref_k0_E_svo1080_YJ_20231122T194348 - _step","ref_k0_E_svo1080_YJ_20231122T194348 - _step__MIN","ref_k0_E_svo1080_YJ_20231122T194348 - _step__MAX","ref_k0_E_svo1080_YJ_20231122T194348 - val_avg_reward","ref_k0_E_svo1080_YJ_20231122T194348 - val_avg_reward__MIN","ref_k0_E_svo1080_YJ_20231122T194348 - val_avg_reward__MAX"
"10","560","560","560","4.18040132522583","4.18040132522583","4.18040132522583","560","560","560","3.9873194694519043","3.9873194694519043","3.9873194694519043","560","560","560","4.287541389465332","4.287541389465332","4.287541389465332","560","560","560","4.048235893249512","4.048235893249512","4.048235893249512","560","560","560","4.317013263702393","4.317013263702393","4.317013263702393","560","560","560","4.225913047790527","4.225913047790527","4.225913047790527","560","560","560","4.4127960205078125","4.4127960205078125","4.4127960205078125","560","560","560","4.436326026916504","4.436326026916504","4.436326026916504"
"11","611","611","611","4.15931510925293","4.15931510925293","4.15931510925293","611","611","611","3.9745914936065674","3.9745914936065674","3.9745914936065674","611","611","611","4.252044677734375","4.252044677734375","4.252044677734375","611","611","611","4.033747673034668","4.033747673034668","4.033747673034668","611","611","611","4.281279563903809","4.281279563903809","4.281279563903809","611","611","611","4.222744464874268","4.222744464874268","4.222744464874268","611","611","611","4.419282913208008","4.419282913208008","4.419282913208008","611","611","611","4.426498889923096","4.426498889923096","4.426498889923096"
"12","662","662","662","4.165030002593994","4.165030002593994","4.165030002593994","662","662","662","3.9629743099212646","3.9629743099212646","3.9629743099212646","662","662","662","4.220909595489502","4.220909595489502","4.220909595489502","662","662","662","4.0207037925720215","4.0207037925720215","4.0207037925720215","662","662","662","4.259960651397705","4.259960651397705","4.259960651397705","662","662","662","4.220347881317139","4.220347881317139","4.220347881317139","662","662","662","4.400742530822754","4.400742530822754","4.400742530822754","662","662","662","4.422509670257568","4.422509670257568","4.422509670257568"
"13","713","713","713","4.145763397216797","4.145763397216797","4.145763397216797","713","713","713","3.9533190727233887","3.9533190727233887","3.9533190727233887","713","713","713","4.203766822814941","4.203766822814941","4.203766822814941","713","713","713","3.9942116737365723","3.9942116737365723","3.9942116737365723","713","713","713","4.237366199493408","4.237366199493408","4.237366199493408","713","713","713","4.227155685424805","4.227155685424805","4.227155685424805","713","713","713","4.392967700958252","4.392967700958252","4.392967700958252","713","713","713","4.429050922393799","4.429050922393799","4.429050922393799"
"14","764","764","764","4.1370697021484375","4.1370697021484375","4.1370697021484375","764","764","764","3.951470375061035","3.951470375061035","3.951470375061035","764","764","764","4.185947418212891","4.185947418212891","4.185947418212891","764","764","764","3.994061231613159","3.994061231613159","3.994061231613159","764","764","764","4.227088928222656","4.227088928222656","4.227088928222656","764","764","764","4.215343952178955","4.215343952178955","4.215343952178955","764","764","764","4.388002395629883","4.388002395629883","4.388002395629883","764","764","764","4.426887035369873","4.426887035369873","4.426887035369873"
"15","815","815","815","4.124947547912598","4.124947547912598","4.124947547912598","815","815","815","3.9511497020721436","3.9511497020721436","3.9511497020721436","815","815","815","4.169285774230957","4.169285774230957","4.169285774230957","815","815","815","3.993030548095703","3.993030548095703","3.993030548095703","815","815","815","4.202125549316406","4.202125549316406","4.202125549316406","815","815","815","4.195511817932129","4.195511817932129","4.195511817932129","815","815","815","4.384230613708496","4.384230613708496","4.384230613708496","815","815","815","4.42578649520874","4.42578649520874","4.42578649520874"
"16","866","866","866","4.127913475036621","4.127913475036621","4.127913475036621","866","866","866","3.9429898262023926","3.9429898262023926","3.9429898262023926","866","866","866","4.153763771057129","4.153763771057129","4.153763771057129","866","866","866","3.9820094108581543","3.9820094108581543","3.9820094108581543","866","866","866","4.193902492523193","4.193902492523193","4.193902492523193","866","866","866","4.200941562652588","4.200941562652588","4.200941562652588","866","866","866","4.369182109832764","4.369182109832764","4.369182109832764","866","866","866","4.426544666290283","4.426544666290283","4.426544666290283"
"17","917","917","917","4.118640422821045","4.118640422821045","4.118640422821045","917","917","917","3.914485216140747","3.914485216140747","3.914485216140747","917","917","917","4.13979434967041","4.13979434967041","4.13979434967041","917","917","917","3.966615915298462","3.966615915298462","3.966615915298462","917","917","917","4.1619873046875","4.1619873046875","4.1619873046875","917","917","917","4.187861442565918","4.187861442565918","4.187861442565918","917","917","917","4.374837875366211","4.374837875366211","4.374837875366211","917","917","917","4.430108547210693","4.430108547210693","4.430108547210693"
"18","968","968","968","4.104743003845215","4.104743003845215","4.104743003845215","968","968","968","3.9208946228027344","3.9208946228027344","3.9208946228027344","968","968","968","4.129438877105713","4.129438877105713","4.129438877105713","968","968","968","3.9535446166992188","3.9535446166992188","3.9535446166992188","968","968","968","4.142275810241699","4.142275810241699","4.142275810241699","968","968","968","4.17746114730835","4.17746114730835","4.17746114730835","968","968","968","4.3729023933410645","4.3729023933410645","4.3729023933410645","968","968","968","4.420832633972168","4.420832633972168","4.420832633972168"
"19","1019","1019","1019","4.102421283721924","4.102421283721924","4.102421283721924","1019","1019","1019","3.91520357131958","3.91520357131958","3.91520357131958","1019","1019","1019","4.113193511962891","4.113193511962891","4.113193511962891","1019","1019","1019","3.9391472339630127","3.9391472339630127","3.9391472339630127","1019","1019","1019","4.126136779785156","4.126136779785156","4.126136779785156","1019","1019","1019","4.187812328338623","4.187812328338623","4.187812328338623","1019","1019","1019","4.375383377075195","4.375383377075195","4.375383377075195","1019","1019","1019","4.41633415222168","4.41633415222168","4.41633415222168"
