"epoch","E_org_k5_rel_svo2080_YJ_20231126T022552 - _step","E_org_k5_rel_svo2080_YJ_20231126T022552 - _step__MIN","E_org_k5_rel_svo2080_YJ_20231126T022552 - _step__MAX","E_org_k5_rel_svo2080_YJ_20231126T022552 - val_avg_reward","E_org_k5_rel_svo2080_YJ_20231126T022552 - val_avg_reward__MIN","E_org_k5_rel_svo2080_YJ_20231126T022552 - val_avg_reward__MAX","E_rel_k5_rel_svo2080_YJ_20231126T022438 - _step","E_rel_k5_rel_svo2080_YJ_20231126T022438 - _step__MIN","E_rel_k5_rel_svo2080_YJ_20231126T022438 - _step__MAX","E_rel_k5_rel_svo2080_YJ_20231126T022438 - val_avg_reward","E_rel_k5_rel_svo2080_YJ_20231126T022438 - val_avg_reward__MIN","E_rel_k5_rel_svo2080_YJ_20231126T022438 - val_avg_reward__MAX","E_org_svo2080_YJ_20231125T172437 - _step","E_org_svo2080_YJ_20231125T172437 - _step__MIN","E_org_svo2080_YJ_20231125T172437 - _step__MAX","E_org_svo2080_YJ_20231125T172437 - val_avg_reward","E_org_svo2080_YJ_20231125T172437 - val_avg_reward__MIN","E_org_svo2080_YJ_20231125T172437 - val_avg_reward__MAX","E_rel_svo2080_YJ_20231125T172153 - _step","E_rel_svo2080_YJ_20231125T172153 - _step__MIN","E_rel_svo2080_YJ_20231125T172153 - _step__MAX","E_rel_svo2080_YJ_20231125T172153 - val_avg_reward","E_rel_svo2080_YJ_20231125T172153 - val_avg_reward__MIN","E_rel_svo2080_YJ_20231125T172153 - val_avg_reward__MAX","ref_k0_E_svo1080_YJ_20231122T194348 - _step","ref_k0_E_svo1080_YJ_20231122T194348 - _step__MIN","ref_k0_E_svo1080_YJ_20231122T194348 - _step__MAX","ref_k0_E_svo1080_YJ_20231122T194348 - val_avg_reward","ref_k0_E_svo1080_YJ_20231122T194348 - val_avg_reward__MIN","ref_k0_E_svo1080_YJ_20231122T194348 - val_avg_reward__MAX"
"14","764","764","764","3.743741035461426","3.743741035461426","3.743741035461426","764","764","764","3.8634488582611084","3.8634488582611084","3.8634488582611084","764","764","764","3.871457815170288","3.871457815170288","3.871457815170288","764","764","764","3.8867640495300293","3.8867640495300293","3.8867640495300293","764","764","764","4.426887035369873","4.426887035369873","4.426887035369873"
"15","815","815","815","3.7523117065429688","3.7523117065429688","3.7523117065429688","815","815","815","3.86395263671875","3.86395263671875","3.86395263671875","815","815","815","3.849461793899536","3.849461793899536","3.849461793899536","815","815","815","3.8754026889801025","3.8754026889801025","3.8754026889801025","815","815","815","4.42578649520874","4.42578649520874","4.42578649520874"
"16","866","866","866","3.740494966506958","3.740494966506958","3.740494966506958","866","866","866","3.8479902744293213","3.8479902744293213","3.8479902744293213","866","866","866","3.844052314758301","3.844052314758301","3.844052314758301","866","866","866","3.865455150604248","3.865455150604248","3.865455150604248","866","866","866","4.426544666290283","4.426544666290283","4.426544666290283"
"17","917","917","917","3.736717462539673","3.736717462539673","3.736717462539673","917","917","917","3.852363348007202","3.852363348007202","3.852363348007202","917","917","917","3.8170762062072754","3.8170762062072754","3.8170762062072754","917","917","917","3.851375102996826","3.851375102996826","3.851375102996826","917","917","917","4.430108547210693","4.430108547210693","4.430108547210693"
"18","968","968","968","3.702625036239624","3.702625036239624","3.702625036239624","968","968","968","3.834226608276367","3.834226608276367","3.834226608276367","968","968","968","3.8082773685455322","3.8082773685455322","3.8082773685455322","968","968","968","3.8591957092285156","3.8591957092285156","3.8591957092285156","968","968","968","4.420832633972168","4.420832633972168","4.420832633972168"
"19","1019","1019","1019","3.701075315475464","3.701075315475464","3.701075315475464","1019","1019","1019","3.834270715713501","3.834270715713501","3.834270715713501","1019","1019","1019","3.8080780506134033","3.8080780506134033","3.8080780506134033","1019","1019","1019","3.850158214569092","3.850158214569092","3.850158214569092","1019","1019","1019","4.41633415222168","4.41633415222168","4.41633415222168"
"20","1070","1070","1070","3.6986424922943115","3.6986424922943115","3.6986424922943115","1070","1070","1070","3.8258249759674072","3.8258249759674072","3.8258249759674072","1070","1070","1070","3.7970290184020996","3.7970290184020996","3.7970290184020996","1070","1070","1070","3.8424429893493652","3.8424429893493652","3.8424429893493652","1070","1070","1070","4.42733097076416","4.42733097076416","4.42733097076416"
"21","1121","1121","1121","3.6915695667266846","3.6915695667266846","3.6915695667266846","1121","1121","1121","3.836463689804077","3.836463689804077","3.836463689804077","1121","1121","1121","3.8030905723571777","3.8030905723571777","3.8030905723571777","1121","1121","1121","3.8276422023773193","3.8276422023773193","3.8276422023773193","1121","1121","1121","4.422592639923096","4.422592639923096","4.422592639923096"
"22","1172","1172","1172","3.6819753646850586","3.6819753646850586","3.6819753646850586","1172","1172","1172","3.813016891479492","3.813016891479492","3.813016891479492","1172","1172","1172","3.8081867694854736","3.8081867694854736","3.8081867694854736","1172","1172","1172","3.8341617584228516","3.8341617584228516","3.8341617584228516","1172","1172","1172","4.423122882843018","4.423122882843018","4.423122882843018"
"23","1223","1223","1223","3.6866352558135986","3.6866352558135986","3.6866352558135986","1223","1223","1223","3.8141772747039795","3.8141772747039795","3.8141772747039795","1223","1223","1223","3.7835867404937744","3.7835867404937744","3.7835867404937744","1223","1223","1223","3.8254737854003906","3.8254737854003906","3.8254737854003906","1223","1223","1223","4.419968605041504","4.419968605041504","4.419968605041504"
