"epoch","E_org_k5_rel_svoA5k_YJ_20231126T024853 - _step","E_org_k5_rel_svoA5k_YJ_20231126T024853 - _step__MIN","E_org_k5_rel_svoA5k_YJ_20231126T024853 - _step__MAX","E_org_k5_rel_svoA5k_YJ_20231126T024853 - val_avg_reward","E_org_k5_rel_svoA5k_YJ_20231126T024853 - val_avg_reward__MIN","E_org_k5_rel_svoA5k_YJ_20231126T024853 - val_avg_reward__MAX","E_rel_k5_rel_svoA5k_YJ_20231126T024839 - _step","E_rel_k5_rel_svoA5k_YJ_20231126T024839 - _step__MIN","E_rel_k5_rel_svoA5k_YJ_20231126T024839 - _step__MAX","E_rel_k5_rel_svoA5k_YJ_20231126T024839 - val_avg_reward","E_rel_k5_rel_svoA5k_YJ_20231126T024839 - val_avg_reward__MIN","E_rel_k5_rel_svoA5k_YJ_20231126T024839 - val_avg_reward__MAX","E_rel_svoA5k_YJ_20231125T173135 - _step","E_rel_svoA5k_YJ_20231125T173135 - _step__MIN","E_rel_svoA5k_YJ_20231125T173135 - _step__MAX","E_rel_svoA5k_YJ_20231125T173135 - val_avg_reward","E_rel_svoA5k_YJ_20231125T173135 - val_avg_reward__MIN","E_rel_svoA5k_YJ_20231125T173135 - val_avg_reward__MAX","E_org_svoA5k_YJ_20231125T173038 - _step","E_org_svoA5k_YJ_20231125T173038 - _step__MIN","E_org_svoA5k_YJ_20231125T173038 - _step__MAX","E_org_svoA5k_YJ_20231125T173038 - val_avg_reward","E_org_svoA5k_YJ_20231125T173038 - val_avg_reward__MIN","E_org_svoA5k_YJ_20231125T173038 - val_avg_reward__MAX","k0_rel_svoA5k_YJ_20231123T021820 - _step","k0_rel_svoA5k_YJ_20231123T021820 - _step__MIN","k0_rel_svoA5k_YJ_20231123T021820 - _step__MAX","k0_rel_svoA5k_YJ_20231123T021820 - val_avg_reward","k0_rel_svoA5k_YJ_20231123T021820 - val_avg_reward__MIN","k0_rel_svoA5k_YJ_20231123T021820 - val_avg_reward__MAX"
"51","2651","2651","2651","8.91755199432373","8.91755199432373","8.91755199432373","2651","2651","2651","9.194915771484375","9.194915771484375","9.194915771484375","2651","2651","2651","9.055289268493652","9.055289268493652","9.055289268493652","2651","2651","2651","8.985447883605957","8.985447883605957","8.985447883605957","2651","2651","2651","9.441170692443848","9.441170692443848","9.441170692443848"
"52","2702","2702","2702","8.945344924926758","8.945344924926758","8.945344924926758","2702","2702","2702","9.18515682220459","9.18515682220459","9.18515682220459","2702","2702","2702","9.08037281036377","9.08037281036377","9.08037281036377","2702","2702","2702","8.905902862548828","8.905902862548828","8.905902862548828","2702","2702","2702","9.457371711730957","9.457371711730957","9.457371711730957"
"53","2753","2753","2753","8.925931930541992","8.925931930541992","8.925931930541992","2753","2753","2753","9.206169128417969","9.206169128417969","9.206169128417969","2753","2753","2753","9.051167488098145","9.051167488098145","9.051167488098145","2753","2753","2753","8.92530345916748","8.92530345916748","8.92530345916748","2753","2753","2753","9.437938690185547","9.437938690185547","9.437938690185547"
"54","2804","2804","2804","8.903219223022461","8.903219223022461","8.903219223022461","2804","2804","2804","9.163942337036133","9.163942337036133","9.163942337036133","2804","2804","2804","9.074662208557129","9.074662208557129","9.074662208557129","2804","2804","2804","8.894121170043945","8.894121170043945","8.894121170043945","2804","2804","2804","9.427611351013184","9.427611351013184","9.427611351013184"
"55","2855","2855","2855","8.915970802307129","8.915970802307129","8.915970802307129","2855","2855","2855","9.16249942779541","9.16249942779541","9.16249942779541","2855","2855","2855","9.055975914001465","9.055975914001465","9.055975914001465","2855","2855","2855","8.902466773986816","8.902466773986816","8.902466773986816","2855","2855","2855","9.45495891571045","9.45495891571045","9.45495891571045"
"56","2906","2906","2906","8.89409351348877","8.89409351348877","8.89409351348877","2906","2906","2906","9.179282188415527","9.179282188415527","9.179282188415527","2906","2906","2906","9.040989875793457","9.040989875793457","9.040989875793457","2906","2906","2906","8.90163803100586","8.90163803100586","8.90163803100586","2906","2906","2906","9.43922233581543","9.43922233581543","9.43922233581543"
"57","2957","2957","2957","8.898118019104004","8.898118019104004","8.898118019104004","2957","2957","2957","9.143856048583984","9.143856048583984","9.143856048583984","2957","2957","2957","9.04810905456543","9.04810905456543","9.04810905456543","2957","2957","2957","8.93018913269043","8.93018913269043","8.93018913269043","2957","2957","2957","9.412425994873047","9.412425994873047","9.412425994873047"
"58","3008","3008","3008","8.970728874206543","8.970728874206543","8.970728874206543","3008","3008","3008","9.184800148010254","9.184800148010254","9.184800148010254","3008","3008","3008","9.068552017211914","9.068552017211914","9.068552017211914","3008","3008","3008","8.928107261657715","8.928107261657715","8.928107261657715","3008","3008","3008","9.410022735595703","9.410022735595703","9.410022735595703"
"59","3059","3059","3059","8.896771430969238","8.896771430969238","8.896771430969238","3059","3059","3059","9.149883270263672","9.149883270263672","9.149883270263672","3059","3059","3059","9.02738094329834","9.02738094329834","9.02738094329834","3059","3059","3059","8.922037124633789","8.922037124633789","8.922037124633789","3059","3059","3059","9.416290283203125","9.416290283203125","9.416290283203125"
"60","3110","3110","3110","8.901039123535156","8.901039123535156","8.901039123535156","3110","3110","3110","9.145476341247559","9.145476341247559","9.145476341247559","3110","3110","3110","9.027877807617188","9.027877807617188","9.027877807617188","3110","3110","3110","8.870586395263672","8.870586395263672","8.870586395263672","3110","3110","3110","9.413068771362305","9.413068771362305","9.413068771362305"
"61","3161","3161","3161","8.872686386108398","8.872686386108398","8.872686386108398","3161","3161","3161","9.140412330627441","9.140412330627441","9.140412330627441","3161","3161","3161","9.032187461853027","9.032187461853027","9.032187461853027","3161","3161","3161","8.867467880249023","8.867467880249023","8.867467880249023","3161","3161","3161","9.408164024353027","9.408164024353027","9.408164024353027"
"62","3212","3212","3212","8.89436149597168","8.89436149597168","8.89436149597168","3212","3212","3212","9.188006401062012","9.188006401062012","9.188006401062012","3212","3212","3212","9.00774097442627","9.00774097442627","9.00774097442627","3212","3212","3212","8.909650802612305","8.909650802612305","8.909650802612305","3212","3212","3212","9.41144847869873","9.41144847869873","9.41144847869873"
"63","3263","3263","3263","8.862929344177246","8.862929344177246","8.862929344177246","3263","3263","3263","9.12840747833252","9.12840747833252","9.12840747833252","3263","3263","3263","9.021952629089355","9.021952629089355","9.021952629089355","3263","3263","3263","8.922863006591797","8.922863006591797","8.922863006591797","3263","3263","3263","9.455862045288086","9.455862045288086","9.455862045288086"
"64","3314","3314","3314","8.854988098144531","8.854988098144531","8.854988098144531","3314","3314","3314","9.096753120422363","9.096753120422363","9.096753120422363","3314","3314","3314","9.000412940979004","9.000412940979004","9.000412940979004","3314","3314","3314","8.888748168945312","8.888748168945312","8.888748168945312","3314","3314","3314","9.42379093170166","9.42379093170166","9.42379093170166"
"65","3365","3365","3365","8.843902587890625","8.843902587890625","8.843902587890625","3365","3365","3365","9.13560962677002","9.13560962677002","9.13560962677002","3365","3365","3365","9.000104904174805","9.000104904174805","9.000104904174805","3365","3365","3365","8.859461784362793","8.859461784362793","8.859461784362793","3365","3365","3365","9.396342277526855","9.396342277526855","9.396342277526855"
"66","3416","3416","3416","8.875542640686035","8.875542640686035","8.875542640686035","3416","3416","3416","9.11092758178711","9.11092758178711","9.11092758178711","3416","3416","3416","8.994059562683105","8.994059562683105","8.994059562683105","3416","3416","3416","8.862443923950195","8.862443923950195","8.862443923950195","3416","3416","3416","9.41655158996582","9.41655158996582","9.41655158996582"
"67","3467","3467","3467","8.835041046142578","8.835041046142578","8.835041046142578","3467","3467","3467","9.100866317749023","9.100866317749023","9.100866317749023","3467","3467","3467","8.978150367736816","8.978150367736816","8.978150367736816","3467","3467","3467","8.839944839477539","8.839944839477539","8.839944839477539","3467","3467","3467","9.386902809143066","9.386902809143066","9.386902809143066"
"68","3518","3518","3518","8.86974048614502","8.86974048614502","8.86974048614502","3518","3518","3518","9.126066207885742","9.126066207885742","9.126066207885742","3518","3518","3518","8.973090171813965","8.973090171813965","8.973090171813965","3518","3518","3518","8.838420867919922","8.838420867919922","8.838420867919922","3518","3518","3518","9.381953239440918","9.381953239440918","9.381953239440918"
"69","3569","3569","3569","8.828380584716797","8.828380584716797","8.828380584716797","3569","3569","3569","9.08267879486084","9.08267879486084","9.08267879486084","3569","3569","3569","9.015167236328125","9.015167236328125","9.015167236328125","3569","3569","3569","8.806275367736816","8.806275367736816","8.806275367736816","3569","3569","3569","9.401579856872559","9.401579856872559","9.401579856872559"
"70","3620","3620","3620","8.834356307983398","8.834356307983398","8.834356307983398","3620","3620","3620","9.087851524353027","9.087851524353027","9.087851524353027","3620","3620","3620","8.997798919677734","8.997798919677734","8.997798919677734","3620","3620","3620","8.853429794311523","8.853429794311523","8.853429794311523","3620","3620","3620","9.389043807983398","9.389043807983398","9.389043807983398"
"71","3671","3671","3671","8.836410522460938","8.836410522460938","8.836410522460938","3671","3671","3671","9.104460716247559","9.104460716247559","9.104460716247559","3671","3671","3671","8.998062133789062","8.998062133789062","8.998062133789062","3671","3671","3671","8.815790176391602","8.815790176391602","8.815790176391602","3671","3671","3671","9.377262115478516","9.377262115478516","9.377262115478516"
"72","3722","3722","3722","8.809849739074707","8.809849739074707","8.809849739074707","3722","3722","3722","9.11005973815918","9.11005973815918","9.11005973815918","3722","3722","3722","8.963484764099121","8.963484764099121","8.963484764099121","3722","3722","3722","8.817130088806152","8.817130088806152","8.817130088806152","3722","3722","3722","9.402485847473145","9.402485847473145","9.402485847473145"
"73","3773","3773","3773","8.816710472106934","8.816710472106934","8.816710472106934","3773","3773","3773","9.083620071411133","9.083620071411133","9.083620071411133","3773","3773","3773","8.977677345275879","8.977677345275879","8.977677345275879","3773","3773","3773","8.851371765136719","8.851371765136719","8.851371765136719","3773","3773","3773","9.403837203979492","9.403837203979492","9.403837203979492"
"74","3824","3824","3824","8.86062240600586","8.86062240600586","8.86062240600586","3824","3824","3824","9.066762924194336","9.066762924194336","9.066762924194336","3824","3824","3824","8.97036361694336","8.97036361694336","8.97036361694336","3824","3824","3824","8.803902626037598","8.803902626037598","8.803902626037598","3824","3824","3824","9.386785507202148","9.386785507202148","9.386785507202148"
"75","3875","3875","3875","8.837915420532227","8.837915420532227","8.837915420532227","3875","3875","3875","9.075446128845215","9.075446128845215","9.075446128845215","3875","3875","3875","8.986852645874023","8.986852645874023","8.986852645874023","3875","3875","3875","8.783403396606445","8.783403396606445","8.783403396606445","3875","3875","3875","9.384452819824219","9.384452819824219","9.384452819824219"
"76","3926","3926","3926","8.809478759765625","8.809478759765625","8.809478759765625","3926","3926","3926","9.07011890411377","9.07011890411377","9.07011890411377","3926","3926","3926","8.980472564697266","8.980472564697266","8.980472564697266","3926","3926","3926","8.794943809509277","8.794943809509277","8.794943809509277","3926","3926","3926","9.375859260559082","9.375859260559082","9.375859260559082"
"77","3977","3977","3977","8.835753440856934","8.835753440856934","8.835753440856934","3977","3977","3977","9.100154876708984","9.100154876708984","9.100154876708984","3977","3977","3977","8.95307731628418","8.95307731628418","8.95307731628418","3977","3977","3977","8.798805236816406","8.798805236816406","8.798805236816406","3977","3977","3977","9.404669761657715","9.404669761657715","9.404669761657715"
"78","4028","4028","4028","8.808436393737793","8.808436393737793","8.808436393737793","4028","4028","4028","9.060876846313477","9.060876846313477","9.060876846313477","4028","4028","4028","8.949751853942871","8.949751853942871","8.949751853942871","4028","4028","4028","8.785032272338867","8.785032272338867","8.785032272338867","4028","4028","4028","9.381570816040039","9.381570816040039","9.381570816040039"
"79","4079","4079","4079","8.774198532104492","8.774198532104492","8.774198532104492","4079","4079","4079","9.049726486206055","9.049726486206055","9.049726486206055","4079","4079","4079","8.950894355773926","8.950894355773926","8.950894355773926","4079","4079","4079","8.796764373779297","8.796764373779297","8.796764373779297","4079","4079","4079","9.393250465393066","9.393250465393066","9.393250465393066"
"80","4130","4130","4130","8.80318546295166","8.80318546295166","8.80318546295166","4130","4130","4130","9.074179649353027","9.074179649353027","9.074179649353027","4130","4130","4130","8.953059196472168","8.953059196472168","8.953059196472168","4130","4130","4130","8.763350486755371","8.763350486755371","8.763350486755371","4130","4130","4130","9.368756294250488","9.368756294250488","9.368756294250488"
"81","4181","4181","4181","8.789008140563965","8.789008140563965","8.789008140563965","4181","4181","4181","9.032076835632324","9.032076835632324","9.032076835632324","4181","4181","4181","8.959543228149414","8.959543228149414","8.959543228149414","4181","4181","4181","8.77640438079834","8.77640438079834","8.77640438079834","4181","4181","4181","9.38608169555664","9.38608169555664","9.38608169555664"
"82","4232","4232","4232","8.781000137329102","8.781000137329102","8.781000137329102","4232","4232","4232","9.046934127807617","9.046934127807617","9.046934127807617","4232","4232","4232","8.963396072387695","8.963396072387695","8.963396072387695","4232","4232","4232","8.774632453918457","8.774632453918457","8.774632453918457","4232","4232","4232","9.377389907836914","9.377389907836914","9.377389907836914"
"83","4283","4283","4283","8.778375625610352","8.778375625610352","8.778375625610352","4283","4283","4283","9.047633171081543","9.047633171081543","9.047633171081543","4283","4283","4283","8.977152824401855","8.977152824401855","8.977152824401855","4283","4283","4283","8.806166648864746","8.806166648864746","8.806166648864746","4283","4283","4283","9.374246597290039","9.374246597290039","9.374246597290039"
"84","4334","4334","4334","8.790853500366211","8.790853500366211","8.790853500366211","4334","4334","4334","9.039855003356934","9.039855003356934","9.039855003356934","4334","4334","4334","8.971073150634766","8.971073150634766","8.971073150634766","4334","4334","4334","8.843756675720215","8.843756675720215","8.843756675720215","4334","4334","4334","9.374919891357422","9.374919891357422","9.374919891357422"
"85","4385","4385","4385","8.779815673828125","8.779815673828125","8.779815673828125","4385","4385","4385","9.066207885742188","9.066207885742188","9.066207885742188","4385","4385","4385","8.955018997192383","8.955018997192383","8.955018997192383","4385","4385","4385","8.778932571411133","8.778932571411133","8.778932571411133","4385","4385","4385","9.374917984008789","9.374917984008789","9.374917984008789"
"86","4436","4436","4436","8.75379467010498","8.75379467010498","8.75379467010498","4436","4436","4436","9.051433563232422","9.051433563232422","9.051433563232422","4436","4436","4436","8.935346603393555","8.935346603393555","8.935346603393555","4436","4436","4436","8.755494117736816","8.755494117736816","8.755494117736816","4436","4436","4436","9.377710342407227","9.377710342407227","9.377710342407227"
"87","4487","4487","4487","8.768628120422363","8.768628120422363","8.768628120422363","4487","4487","4487","9.025750160217285","9.025750160217285","9.025750160217285","4487","4487","4487","8.93552303314209","8.93552303314209","8.93552303314209","4487","4487","4487","8.75990104675293","8.75990104675293","8.75990104675293","4487","4487","4487","9.370613098144531","9.370613098144531","9.370613098144531"
"88","4538","4538","4538","8.75370979309082","8.75370979309082","8.75370979309082","4538","4538","4538","9.040935516357422","9.040935516357422","9.040935516357422","4538","4538","4538","8.924917221069336","8.924917221069336","8.924917221069336","4538","4538","4538","8.797367095947266","8.797367095947266","8.797367095947266","4538","4538","4538","9.358136177062988","9.358136177062988","9.358136177062988"
"89","4589","4589","4589","8.751739501953125","8.751739501953125","8.751739501953125","4589","4589","4589","9.037725448608398","9.037725448608398","9.037725448608398","4589","4589","4589","8.946134567260742","8.946134567260742","8.946134567260742","4589","4589","4589","8.782686233520508","8.782686233520508","8.782686233520508","4589","4589","4589","9.362279891967773","9.362279891967773","9.362279891967773"
"90","4640","4640","4640","8.75688648223877","8.75688648223877","8.75688648223877","4640","4640","4640","9.018094062805176","9.018094062805176","9.018094062805176","4640","4640","4640","8.942211151123047","8.942211151123047","8.942211151123047","4640","4640","4640","8.749598503112793","8.749598503112793","8.749598503112793","4640","4640","4640","9.362821578979492","9.362821578979492","9.362821578979492"
"91","4691","4691","4691","8.781243324279785","8.781243324279785","8.781243324279785","4691","4691","4691","9.029646873474121","9.029646873474121","9.029646873474121","4691","4691","4691","8.935737609863281","8.935737609863281","8.935737609863281","4691","4691","4691","8.790581703186035","8.790581703186035","8.790581703186035","4691","4691","4691","9.361092567443848","9.361092567443848","9.361092567443848"
"92","4742","4742","4742","8.774398803710938","8.774398803710938","8.774398803710938","4742","4742","4742","9.013204574584961","9.013204574584961","9.013204574584961","4742","4742","4742","8.92531967163086","8.92531967163086","8.92531967163086","4742","4742","4742","8.764983177185059","8.764983177185059","8.764983177185059","4742","4742","4742","9.367753028869629","9.367753028869629","9.367753028869629"
"93","4793","4793","4793","8.764625549316406","8.764625549316406","8.764625549316406","4793","4793","4793","9.010693550109863","9.010693550109863","9.010693550109863","4793","4793","4793","8.9481840133667","8.9481840133667","8.9481840133667","4793","4793","4793","8.732789993286133","8.732789993286133","8.732789993286133","4793","4793","4793","9.37848949432373","9.37848949432373","9.37848949432373"
"94","4844","4844","4844","8.745473861694336","8.745473861694336","8.745473861694336","4844","4844","4844","9.025566101074219","9.025566101074219","9.025566101074219","4844","4844","4844","8.912396430969238","8.912396430969238","8.912396430969238","4844","4844","4844","8.769207954406738","8.769207954406738","8.769207954406738","4844","4844","4844","9.360301971435547","9.360301971435547","9.360301971435547"
"95","4895","4895","4895","8.73440170288086","8.73440170288086","8.73440170288086","4895","4895","4895","9.00844955444336","9.00844955444336","9.00844955444336","4895","4895","4895","8.923747062683105","8.923747062683105","8.923747062683105","4895","4895","4895","8.736276626586914","8.736276626586914","8.736276626586914","4895","4895","4895","9.379087448120117","9.379087448120117","9.379087448120117"
"96","4946","4946","4946","8.74484920501709","8.74484920501709","8.74484920501709","4946","4946","4946","8.996392250061035","8.996392250061035","8.996392250061035","4946","4946","4946","8.912659645080566","8.912659645080566","8.912659645080566","4946","4946","4946","8.75589370727539","8.75589370727539","8.75589370727539","4946","4946","4946","9.337132453918457","9.337132453918457","9.337132453918457"
"97","4997","4997","4997","8.72224235534668","8.72224235534668","8.72224235534668","4997","4997","4997","8.993492126464844","8.993492126464844","8.993492126464844","4997","4997","4997","8.930427551269531","8.930427551269531","8.930427551269531","4997","4997","4997","8.731186866760254","8.731186866760254","8.731186866760254","4997","4997","4997","9.345595359802246","9.345595359802246","9.345595359802246"
"98","5048","5048","5048","8.742659568786621","8.742659568786621","8.742659568786621","5048","5048","5048","8.978607177734375","8.978607177734375","8.978607177734375","5048","5048","5048","8.913174629211426","8.913174629211426","8.913174629211426","5048","5048","5048","8.731734275817871","8.731734275817871","8.731734275817871","5048","5048","5048","9.348426818847656","9.348426818847656","9.348426818847656"
"99","5099","5099","5099","8.731049537658691","8.731049537658691","8.731049537658691","5099","5099","5099","8.992691040039062","8.992691040039062","8.992691040039062","5099","5099","5099","8.90965461730957","8.90965461730957","8.90965461730957","5099","5099","5099","8.727208137512207","8.727208137512207","8.727208137512207","5099","5099","5099","9.341137886047363","9.341137886047363","9.341137886047363"
