"epoch","E_org_k5_rel_svoA5k_YJ_20231126T024853 - _step","E_org_k5_rel_svoA5k_YJ_20231126T024853 - _step__MIN","E_org_k5_rel_svoA5k_YJ_20231126T024853 - _step__MAX","E_org_k5_rel_svoA5k_YJ_20231126T024853 - val_avg_reward","E_org_k5_rel_svoA5k_YJ_20231126T024853 - val_avg_reward__MIN","E_org_k5_rel_svoA5k_YJ_20231126T024853 - val_avg_reward__MAX","E_rel_k5_rel_svoA5k_YJ_20231126T024839 - _step","E_rel_k5_rel_svoA5k_YJ_20231126T024839 - _step__MIN","E_rel_k5_rel_svoA5k_YJ_20231126T024839 - _step__MAX","E_rel_k5_rel_svoA5k_YJ_20231126T024839 - val_avg_reward","E_rel_k5_rel_svoA5k_YJ_20231126T024839 - val_avg_reward__MIN","E_rel_k5_rel_svoA5k_YJ_20231126T024839 - val_avg_reward__MAX","E_rel_svoA5k_YJ_20231125T173135 - _step","E_rel_svoA5k_YJ_20231125T173135 - _step__MIN","E_rel_svoA5k_YJ_20231125T173135 - _step__MAX","E_rel_svoA5k_YJ_20231125T173135 - val_avg_reward","E_rel_svoA5k_YJ_20231125T173135 - val_avg_reward__MIN","E_rel_svoA5k_YJ_20231125T173135 - val_avg_reward__MAX","E_org_svoA5k_YJ_20231125T173038 - _step","E_org_svoA5k_YJ_20231125T173038 - _step__MIN","E_org_svoA5k_YJ_20231125T173038 - _step__MAX","E_org_svoA5k_YJ_20231125T173038 - val_avg_reward","E_org_svoA5k_YJ_20231125T173038 - val_avg_reward__MIN","E_org_svoA5k_YJ_20231125T173038 - val_avg_reward__MAX","k0_rel_svoA5k_YJ_20231123T021820 - _step","k0_rel_svoA5k_YJ_20231123T021820 - _step__MIN","k0_rel_svoA5k_YJ_20231123T021820 - _step__MAX","k0_rel_svoA5k_YJ_20231123T021820 - val_avg_reward","k0_rel_svoA5k_YJ_20231123T021820 - val_avg_reward__MIN","k0_rel_svoA5k_YJ_20231123T021820 - val_avg_reward__MAX"
"14","764","764","764","9.307726860046387","9.307726860046387","9.307726860046387","764","764","764","9.709016799926758","9.709016799926758","9.709016799926758","764","764","764","9.465266227722168","9.465266227722168","9.465266227722168","764","764","764","9.717611312866211","9.717611312866211","9.717611312866211","764","764","764","9.649043083190918","9.649043083190918","9.649043083190918"
"15","815","815","815","9.27457332611084","9.27457332611084","9.27457332611084","815","815","815","9.681365013122559","9.681365013122559","9.681365013122559","815","815","815","9.431161880493164","9.431161880493164","9.431161880493164","815","815","815","9.657681465148926","9.657681465148926","9.657681465148926","815","815","815","9.651575088500977","9.651575088500977","9.651575088500977"
"16","866","866","866","9.253653526306152","9.253653526306152","9.253653526306152","866","866","866","9.604886054992676","9.604886054992676","9.604886054992676","866","866","866","9.404707908630371","9.404707908630371","9.404707908630371","866","866","866","9.698726654052734","9.698726654052734","9.698726654052734","866","866","866","9.626855850219727","9.626855850219727","9.626855850219727"
"17","917","917","917","9.25035572052002","9.25035572052002","9.25035572052002","917","917","917","9.613119125366211","9.613119125366211","9.613119125366211","917","917","917","9.390775680541992","9.390775680541992","9.390775680541992","917","917","917","9.602169036865234","9.602169036865234","9.602169036865234","917","917","917","9.621739387512207","9.621739387512207","9.621739387512207"
"18","968","968","968","9.249524116516113","9.249524116516113","9.249524116516113","968","968","968","9.63509464263916","9.63509464263916","9.63509464263916","968","968","968","9.400103569030762","9.400103569030762","9.400103569030762","968","968","968","9.636473655700684","9.636473655700684","9.636473655700684","968","968","968","9.597481727600098","9.597481727600098","9.597481727600098"
"19","1019","1019","1019","9.217180252075195","9.217180252075195","9.217180252075195","1019","1019","1019","9.580754280090332","9.580754280090332","9.580754280090332","1019","1019","1019","9.421050071716309","9.421050071716309","9.421050071716309","1019","1019","1019","9.83895206451416","9.83895206451416","9.83895206451416","1019","1019","1019","9.625775337219238","9.625775337219238","9.625775337219238"
"20","1070","1070","1070","9.195966720581055","9.195966720581055","9.195966720581055","1070","1070","1070","9.533093452453613","9.533093452453613","9.533093452453613","1070","1070","1070","9.35296630859375","9.35296630859375","9.35296630859375","1070","1070","1070","9.635303497314453","9.635303497314453","9.635303497314453","1070","1070","1070","9.634180068969727","9.634180068969727","9.634180068969727"
"21","1121","1121","1121","9.153581619262695","9.153581619262695","9.153581619262695","1121","1121","1121","9.515436172485352","9.515436172485352","9.515436172485352","1121","1121","1121","9.34273624420166","9.34273624420166","9.34273624420166","1121","1121","1121","9.57239818572998","9.57239818572998","9.57239818572998","1121","1121","1121","9.603968620300293","9.603968620300293","9.603968620300293"
"22","1172","1172","1172","9.14753246307373","9.14753246307373","9.14753246307373","1172","1172","1172","9.527687072753906","9.527687072753906","9.527687072753906","1172","1172","1172","9.297028541564941","9.297028541564941","9.297028541564941","1172","1172","1172","9.608856201171875","9.608856201171875","9.608856201171875","1172","1172","1172","9.579574584960938","9.579574584960938","9.579574584960938"
"23","1223","1223","1223","9.171216011047363","9.171216011047363","9.171216011047363","1223","1223","1223","9.449581146240234","9.449581146240234","9.449581146240234","1223","1223","1223","9.28968620300293","9.28968620300293","9.28968620300293","1223","1223","1223","9.525177001953125","9.525177001953125","9.525177001953125","1223","1223","1223","9.596158981323242","9.596158981323242","9.596158981323242"
"24","1274","1274","1274","9.137937545776367","9.137937545776367","9.137937545776367","1274","1274","1274","9.433295249938965","9.433295249938965","9.433295249938965","1274","1274","1274","9.302840232849121","9.302840232849121","9.302840232849121","1274","1274","1274","9.449322700500488","9.449322700500488","9.449322700500488","1274","1274","1274","9.528919219970703","9.528919219970703","9.528919219970703"
"25","1325","1325","1325","9.14808464050293","9.14808464050293","9.14808464050293","1325","1325","1325","9.430825233459473","9.430825233459473","9.430825233459473","1325","1325","1325","9.28951358795166","9.28951358795166","9.28951358795166","1325","1325","1325","9.482423782348633","9.482423782348633","9.482423782348633","1325","1325","1325","9.559560775756836","9.559560775756836","9.559560775756836"
"26","1376","1376","1376","9.14362621307373","9.14362621307373","9.14362621307373","1376","1376","1376","9.402069091796875","9.402069091796875","9.402069091796875","1376","1376","1376","9.228212356567383","9.228212356567383","9.228212356567383","1376","1376","1376","9.441566467285156","9.441566467285156","9.441566467285156","1376","1376","1376","9.543121337890625","9.543121337890625","9.543121337890625"
"27","1427","1427","1427","9.10598373413086","9.10598373413086","9.10598373413086","1427","1427","1427","9.373250007629395","9.373250007629395","9.373250007629395","1427","1427","1427","9.278362274169922","9.278362274169922","9.278362274169922","1427","1427","1427","9.377294540405273","9.377294540405273","9.377294540405273","1427","1427","1427","9.560956954956055","9.560956954956055","9.560956954956055"
"28","1478","1478","1478","9.083514213562012","9.083514213562012","9.083514213562012","1478","1478","1478","9.383378028869629","9.383378028869629","9.383378028869629","1478","1478","1478","9.232064247131348","9.232064247131348","9.232064247131348","1478","1478","1478","9.322487831115723","9.322487831115723","9.322487831115723","1478","1478","1478","9.528128623962402","9.528128623962402","9.528128623962402"
"29","1529","1529","1529","9.106215476989746","9.106215476989746","9.106215476989746","1529","1529","1529","9.37927532196045","9.37927532196045","9.37927532196045","1529","1529","1529","9.258990287780762","9.258990287780762","9.258990287780762","1529","1529","1529","9.2794828414917","9.2794828414917","9.2794828414917","1529","1529","1529","9.541834831237793","9.541834831237793","9.541834831237793"
"30","1580","1580","1580","9.11015510559082","9.11015510559082","9.11015510559082","1580","1580","1580","9.362345695495605","9.362345695495605","9.362345695495605","1580","1580","1580","9.203003883361816","9.203003883361816","9.203003883361816","1580","1580","1580","9.257406234741211","9.257406234741211","9.257406234741211","1580","1580","1580","9.56204891204834","9.56204891204834","9.56204891204834"
