"epoch","new_k5_org_svo2080_YJ_20231126T023720 - _step","new_k5_org_svo2080_YJ_20231126T023720 - _step__MIN","new_k5_org_svo2080_YJ_20231126T023720 - _step__MAX","new_k5_org_svo2080_YJ_20231126T023720 - val_avg_reward","new_k5_org_svo2080_YJ_20231126T023720 - val_avg_reward__MIN","new_k5_org_svo2080_YJ_20231126T023720 - val_avg_reward__MAX","new_k10_org_svo2080_YJ_20231126T023711 - _step","new_k10_org_svo2080_YJ_20231126T023711 - _step__MIN","new_k10_org_svo2080_YJ_20231126T023711 - _step__MAX","new_k10_org_svo2080_YJ_20231126T023711 - val_avg_reward","new_k10_org_svo2080_YJ_20231126T023711 - val_avg_reward__MIN","new_k10_org_svo2080_YJ_20231126T023711 - val_avg_reward__MAX","new_k10_rel_svo2080_YJ_20231124T215107 - _step","new_k10_rel_svo2080_YJ_20231124T215107 - _step__MIN","new_k10_rel_svo2080_YJ_20231124T215107 - _step__MAX","new_k10_rel_svo2080_YJ_20231124T215107 - val_avg_reward","new_k10_rel_svo2080_YJ_20231124T215107 - val_avg_reward__MIN","new_k10_rel_svo2080_YJ_20231124T215107 - val_avg_reward__MAX","new_k5_rel_fast_svo2080_YJ_20231124T191454 - _step","new_k5_rel_fast_svo2080_YJ_20231124T191454 - _step__MIN","new_k5_rel_fast_svo2080_YJ_20231124T191454 - _step__MAX","new_k5_rel_fast_svo2080_YJ_20231124T191454 - val_avg_reward","new_k5_rel_fast_svo2080_YJ_20231124T191454 - val_avg_reward__MIN","new_k5_rel_fast_svo2080_YJ_20231124T191454 - val_avg_reward__MAX","k0_rel_svo2080_YJ_20231123T021356 - _step","k0_rel_svo2080_YJ_20231123T021356 - _step__MIN","k0_rel_svo2080_YJ_20231123T021356 - _step__MAX","k0_rel_svo2080_YJ_20231123T021356 - val_avg_reward","k0_rel_svo2080_YJ_20231123T021356 - val_avg_reward__MIN","k0_rel_svo2080_YJ_20231123T021356 - val_avg_reward__MAX"
"10","560","560","560","6.859808444976807","6.859808444976807","6.859808444976807","560","560","560","6.88241720199585","6.88241720199585","6.88241720199585","560","560","560","6.757912635803223","6.757912635803223","6.757912635803223","560","560","560","6.78481388092041","6.78481388092041","6.78481388092041","560","560","560","6.843435287475586","6.843435287475586","6.843435287475586"
"11","611","611","611","6.8420515060424805","6.8420515060424805","6.8420515060424805","611","611","611","6.859808444976807","6.859808444976807","6.859808444976807","611","611","611","6.752084255218506","6.752084255218506","6.752084255218506","611","611","611","6.78859281539917","6.78859281539917","6.78859281539917","611","611","611","6.834251403808594","6.834251403808594","6.834251403808594"
"12","662","662","662","6.834118843078613","6.834118843078613","6.834118843078613","662","662","662","6.892333030700684","6.892333030700684","6.892333030700684","662","662","662","6.762283802032471","6.762283802032471","6.762283802032471","662","662","662","6.779742240905762","6.779742240905762","6.779742240905762","662","662","662","6.836153984069824","6.836153984069824","6.836153984069824"
"13","713","713","713","6.809128761291504","6.809128761291504","6.809128761291504","713","713","713","6.85192346572876","6.85192346572876","6.85192346572876","713","713","713","6.701772689819336","6.701772689819336","6.701772689819336","713","713","713","6.789942741394043","6.789942741394043","6.789942741394043","713","713","713","6.801460266113281","6.801460266113281","6.801460266113281"
"14","764","764","764","6.813868522644043","6.813868522644043","6.813868522644043","764","764","764","6.816623210906982","6.816623210906982","6.816623210906982","764","764","764","6.687075138092041","6.687075138092041","6.687075138092041","764","764","764","6.7560811042785645","6.7560811042785645","6.7560811042785645","764","764","764","6.787631988525391","6.787631988525391","6.787631988525391"
"15","815","815","815","6.818930625915527","6.818930625915527","6.818930625915527","815","815","815","6.82594633102417","6.82594633102417","6.82594633102417","815","815","815","6.688342094421387","6.688342094421387","6.688342094421387","815","815","815","6.7237138748168945","6.7237138748168945","6.7237138748168945","815","815","815","6.775607585906982","6.775607585906982","6.775607585906982"
"16","866","866","866","6.821278095245361","6.821278095245361","6.821278095245361","866","866","866","6.83225154876709","6.83225154876709","6.83225154876709","866","866","866","6.672581195831299","6.672581195831299","6.672581195831299","866","866","866","6.766109943389893","6.766109943389893","6.766109943389893","866","866","866","6.795948505401611","6.795948505401611","6.795948505401611"
"17","917","917","917","6.78696870803833","6.78696870803833","6.78696870803833","917","917","917","6.825262546539307","6.825262546539307","6.825262546539307","917","917","917","6.686620235443115","6.686620235443115","6.686620235443115","917","917","917","6.705979824066162","6.705979824066162","6.705979824066162","917","917","917","6.812356472015381","6.812356472015381","6.812356472015381"
"18","968","968","968","6.813849925994873","6.813849925994873","6.813849925994873","968","968","968","6.846606254577637","6.846606254577637","6.846606254577637","968","968","968","6.646336078643799","6.646336078643799","6.646336078643799","968","968","968","6.683604717254639","6.683604717254639","6.683604717254639","968","968","968","6.786978721618652","6.786978721618652","6.786978721618652"
"19","1019","1019","1019","6.781621932983398","6.781621932983398","6.781621932983398","1019","1019","1019","6.789229869842529","6.789229869842529","6.789229869842529","1019","1019","1019","6.628480434417725","6.628480434417725","6.628480434417725","1019","1019","1019","6.721451759338379","6.721451759338379","6.721451759338379","1019","1019","1019","6.786617279052734","6.786617279052734","6.786617279052734"
"20","1070","1070","1070","6.782962322235107","6.782962322235107","6.782962322235107","1070","1070","1070","6.818356037139893","6.818356037139893","6.818356037139893","1070","1070","1070","6.65561580657959","6.65561580657959","6.65561580657959","1070","1070","1070","6.657280445098877","6.657280445098877","6.657280445098877","1070","1070","1070","6.762871742248535","6.762871742248535","6.762871742248535"
"21","1121","1121","1121","6.779633522033691","6.779633522033691","6.779633522033691","1121","1121","1121","6.792381286621094","6.792381286621094","6.792381286621094","1121","1121","1121","6.652015686035156","6.652015686035156","6.652015686035156","1121","1121","1121","6.674007892608643","6.674007892608643","6.674007892608643","1121","1121","1121","6.779338836669922","6.779338836669922","6.779338836669922"
"22","1172","1172","1172","6.77346658706665","6.77346658706665","6.77346658706665","1172","1172","1172","6.7921953201293945","6.7921953201293945","6.7921953201293945","1172","1172","1172","6.642056465148926","6.642056465148926","6.642056465148926","1172","1172","1172","6.637004852294922","6.637004852294922","6.637004852294922","1172","1172","1172","6.751553058624268","6.751553058624268","6.751553058624268"
"23","1223","1223","1223","6.794131278991699","6.794131278991699","6.794131278991699","1223","1223","1223","6.80560302734375","6.80560302734375","6.80560302734375","1223","1223","1223","6.606971740722656","6.606971740722656","6.606971740722656","1223","1223","1223","6.623517036437988","6.623517036437988","6.623517036437988","1223","1223","1223","6.781466960906982","6.781466960906982","6.781466960906982"
"24","1274","1274","1274","6.774020195007324","6.774020195007324","6.774020195007324","1274","1274","1274","6.776676654815674","6.776676654815674","6.776676654815674","1274","1274","1274","6.642838954925537","6.642838954925537","6.642838954925537","1274","1274","1274","6.6724982261657715","6.6724982261657715","6.6724982261657715","1274","1274","1274","6.7424421310424805","6.7424421310424805","6.7424421310424805"
"25","1325","1325","1325","6.774869441986084","6.774869441986084","6.774869441986084","1325","1325","1325","6.791123390197754","6.791123390197754","6.791123390197754","1325","1325","1325","6.60456657409668","6.60456657409668","6.60456657409668","1325","1325","1325","6.637694358825684","6.637694358825684","6.637694358825684","1325","1325","1325","6.752026557922363","6.752026557922363","6.752026557922363"
"26","1376","1376","1376","6.762578964233398","6.762578964233398","6.762578964233398","1376","1376","1376","6.778064250946045","6.778064250946045","6.778064250946045","1376","1376","1376","6.594172477722168","6.594172477722168","6.594172477722168","1376","1376","1376","6.641534328460693","6.641534328460693","6.641534328460693","1376","1376","1376","6.773509502410889","6.773509502410889","6.773509502410889"
"27","1427","1427","1427","6.735391616821289","6.735391616821289","6.735391616821289","1427","1427","1427","6.7653374671936035","6.7653374671936035","6.7653374671936035","1427","1427","1427","6.586418628692627","6.586418628692627","6.586418628692627","1427","1427","1427","6.610151767730713","6.610151767730713","6.610151767730713","1427","1427","1427","6.76127815246582","6.76127815246582","6.76127815246582"
"28","1478","1478","1478","6.820958614349365","6.820958614349365","6.820958614349365","1478","1478","1478","6.799950122833252","6.799950122833252","6.799950122833252","1478","1478","1478","6.588395118713379","6.588395118713379","6.588395118713379","1478","1478","1478","6.614562511444092","6.614562511444092","6.614562511444092","1478","1478","1478","6.769593715667725","6.769593715667725","6.769593715667725"
"29","1529","1529","1529","6.768277168273926","6.768277168273926","6.768277168273926","1529","1529","1529","6.75535774230957","6.75535774230957","6.75535774230957","1529","1529","1529","6.577000141143799","6.577000141143799","6.577000141143799","1529","1529","1529","6.631364822387695","6.631364822387695","6.631364822387695","1529","1529","1529","6.750447750091553","6.750447750091553","6.750447750091553"
"30","1580","1580","1580","6.7687296867370605","6.7687296867370605","6.7687296867370605","1580","1580","1580","6.767695426940918","6.767695426940918","6.767695426940918","1580","1580","1580","6.581541538238525","6.581541538238525","6.581541538238525","1580","1580","1580","6.6351423263549805","6.6351423263549805","6.6351423263549805","1580","1580","1580","6.738661766052246","6.738661766052246","6.738661766052246"
"31","1631","1631","1631","6.7746148109436035","6.7746148109436035","6.7746148109436035","1631","1631","1631","6.773176670074463","6.773176670074463","6.773176670074463","1631","1631","1631","6.5813703536987305","6.5813703536987305","6.5813703536987305","1631","1631","1631","6.613700866699219","6.613700866699219","6.613700866699219","1631","1631","1631","6.765092372894287","6.765092372894287","6.765092372894287"
"32","1682","1682","1682","6.7425689697265625","6.7425689697265625","6.7425689697265625","1682","1682","1682","6.757446765899658","6.757446765899658","6.757446765899658","1682","1682","1682","6.567636013031006","6.567636013031006","6.567636013031006","1682","1682","1682","6.634707927703857","6.634707927703857","6.634707927703857","1682","1682","1682","6.7467570304870605","6.7467570304870605","6.7467570304870605"
"33","1733","1733","1733","6.740870475769043","6.740870475769043","6.740870475769043","1733","1733","1733","6.7535600662231445","6.7535600662231445","6.7535600662231445","1733","1733","1733","6.5504984855651855","6.5504984855651855","6.5504984855651855","1733","1733","1733","6.592400074005127","6.592400074005127","6.592400074005127","1733","1733","1733","6.744709491729736","6.744709491729736","6.744709491729736"
"34","1784","1784","1784","6.7471208572387695","6.7471208572387695","6.7471208572387695","1784","1784","1784","6.754670143127441","6.754670143127441","6.754670143127441","1784","1784","1784","6.573178291320801","6.573178291320801","6.573178291320801","1784","1784","1784","6.63462495803833","6.63462495803833","6.63462495803833","1784","1784","1784","6.7356672286987305","6.7356672286987305","6.7356672286987305"
"35","1835","1835","1835","6.750155448913574","6.750155448913574","6.750155448913574","1835","1835","1835","6.747377395629883","6.747377395629883","6.747377395629883","1835","1835","1835","6.541543006896973","6.541543006896973","6.541543006896973","1835","1835","1835","6.58127498626709","6.58127498626709","6.58127498626709","1835","1835","1835","6.750367164611816","6.750367164611816","6.750367164611816"
"36","1886","1886","1886","6.741735935211182","6.741735935211182","6.741735935211182","1886","1886","1886","6.746672630310059","6.746672630310059","6.746672630310059","1886","1886","1886","6.5705790519714355","6.5705790519714355","6.5705790519714355","1886","1886","1886","6.583151340484619","6.583151340484619","6.583151340484619","1886","1886","1886","6.738902568817139","6.738902568817139","6.738902568817139"
"37","1937","1937","1937","6.739236831665039","6.739236831665039","6.739236831665039","1937","1937","1937","6.744643688201904","6.744643688201904","6.744643688201904","1937","1937","1937","6.551550388336182","6.551550388336182","6.551550388336182","1937","1937","1937","6.591753005981445","6.591753005981445","6.591753005981445","1937","1937","1937","6.753122806549072","6.753122806549072","6.753122806549072"
"38","1988","1988","1988","6.754881381988525","6.754881381988525","6.754881381988525","1988","1988","1988","6.751768112182617","6.751768112182617","6.751768112182617","1988","1988","1988","6.563159942626953","6.563159942626953","6.563159942626953","1988","1988","1988","6.611027240753174","6.611027240753174","6.611027240753174","1988","1988","1988","6.733331203460693","6.733331203460693","6.733331203460693"
"39","2039","2039","2039","6.741055488586426","6.741055488586426","6.741055488586426","2039","2039","2039","6.751712322235107","6.751712322235107","6.751712322235107","2039","2039","2039","6.557125091552734","6.557125091552734","6.557125091552734","2039","2039","2039","6.595337390899658","6.595337390899658","6.595337390899658","2039","2039","2039","6.749838352203369","6.749838352203369","6.749838352203369"
"40","2090","2090","2090","6.74694299697876","6.74694299697876","6.74694299697876","2090","2090","2090","6.7428436279296875","6.7428436279296875","6.7428436279296875","2090","2090","2090","6.534297943115234","6.534297943115234","6.534297943115234","2090","2090","2090","6.585832595825195","6.585832595825195","6.585832595825195","2090","2090","2090","6.730867385864258","6.730867385864258","6.730867385864258"
"41","2141","2141","2141","6.714357852935791","6.714357852935791","6.714357852935791","2141","2141","2141","6.745188236236572","6.745188236236572","6.745188236236572","2141","2141","2141","6.528148651123047","6.528148651123047","6.528148651123047","2141","2141","2141","6.589860916137695","6.589860916137695","6.589860916137695","2141","2141","2141","6.751484394073486","6.751484394073486","6.751484394073486"
"42","2192","2192","2192","6.74362325668335","6.74362325668335","6.74362325668335","2192","2192","2192","6.733273506164551","6.733273506164551","6.733273506164551","2192","2192","2192","6.51925802230835","6.51925802230835","6.51925802230835","2192","2192","2192","6.5892014503479","6.5892014503479","6.5892014503479","2192","2192","2192","6.752487659454346","6.752487659454346","6.752487659454346"
"43","2243","2243","2243","6.709307670593262","6.709307670593262","6.709307670593262","2243","2243","2243","6.75576639175415","6.75576639175415","6.75576639175415","2243","2243","2243","6.511681079864502","6.511681079864502","6.511681079864502","2243","2243","2243","6.554843902587891","6.554843902587891","6.554843902587891","2243","2243","2243","6.726433753967285","6.726433753967285","6.726433753967285"
"44","2294","2294","2294","6.731358528137207","6.731358528137207","6.731358528137207","2294","2294","2294","6.721543788909912","6.721543788909912","6.721543788909912","2294","2294","2294","6.5231499671936035","6.5231499671936035","6.5231499671936035","2294","2294","2294","6.56364631652832","6.56364631652832","6.56364631652832","2294","2294","2294","6.731454849243164","6.731454849243164","6.731454849243164"
"45","2345","2345","2345","6.722350597381592","6.722350597381592","6.722350597381592","2345","2345","2345","6.737909317016602","6.737909317016602","6.737909317016602","2345","2345","2345","6.5297675132751465","6.5297675132751465","6.5297675132751465","2345","2345","2345","6.578171253204346","6.578171253204346","6.578171253204346","2345","2345","2345","6.7242937088012695","6.7242937088012695","6.7242937088012695"
"46","2396","2396","2396","6.736024856567383","6.736024856567383","6.736024856567383","2396","2396","2396","6.727578163146973","6.727578163146973","6.727578163146973","2396","2396","2396","6.511240005493164","6.511240005493164","6.511240005493164","2396","2396","2396","6.563652992248535","6.563652992248535","6.563652992248535","2396","2396","2396","6.706126689910889","6.706126689910889","6.706126689910889"
"47","2447","2447","2447","6.719298362731934","6.719298362731934","6.719298362731934","2447","2447","2447","6.71539831161499","6.71539831161499","6.71539831161499","2447","2447","2447","6.515011310577393","6.515011310577393","6.515011310577393","2447","2447","2447","6.581362724304199","6.581362724304199","6.581362724304199","2447","2447","2447","6.716000556945801","6.716000556945801","6.716000556945801"
"48","2498","2498","2498","6.711554527282715","6.711554527282715","6.711554527282715","2498","2498","2498","6.726129055023193","6.726129055023193","6.726129055023193","2498","2498","2498","6.520116329193115","6.520116329193115","6.520116329193115","2498","2498","2498","6.545259952545166","6.545259952545166","6.545259952545166","2498","2498","2498","6.702417373657227","6.702417373657227","6.702417373657227"
"49","2549","2549","2549","6.717721939086914","6.717721939086914","6.717721939086914","2549","2549","2549","6.733902931213379","6.733902931213379","6.733902931213379","2549","2549","2549","6.531136989593506","6.531136989593506","6.531136989593506","2549","2549","2549","6.5886311531066895","6.5886311531066895","6.5886311531066895","2549","2549","2549","6.731375694274902","6.731375694274902","6.731375694274902"
"50","2600","2600","2600","6.72599458694458","6.72599458694458","6.72599458694458","2600","2600","2600","6.737862586975098","6.737862586975098","6.737862586975098","2600","2600","2600","6.502122402191162","6.502122402191162","6.502122402191162","2600","2600","2600","6.561017990112305","6.561017990112305","6.561017990112305","2600","2600","2600","6.719279766082764","6.719279766082764","6.719279766082764"
"51","2651","2651","2651","6.719237327575684","6.719237327575684","6.719237327575684","2651","2651","2651","6.706502914428711","6.706502914428711","6.706502914428711","2651","2651","2651","6.501267433166504","6.501267433166504","6.501267433166504","2651","2651","2651","6.5349812507629395","6.5349812507629395","6.5349812507629395","2651","2651","2651","6.709286689758301","6.709286689758301","6.709286689758301"
"52","2702","2702","2702","6.723143100738525","6.723143100738525","6.723143100738525","2702","2702","2702","6.726522445678711","6.726522445678711","6.726522445678711","2702","2702","2702","6.49429988861084","6.49429988861084","6.49429988861084","2702","2702","2702","6.557040691375732","6.557040691375732","6.557040691375732","2702","2702","2702","6.725954055786133","6.725954055786133","6.725954055786133"
"53","2753","2753","2753","6.714869499206543","6.714869499206543","6.714869499206543","2753","2753","2753","6.709352493286133","6.709352493286133","6.709352493286133","2753","2753","2753","6.485449314117432","6.485449314117432","6.485449314117432","2753","2753","2753","6.524590969085693","6.524590969085693","6.524590969085693","2753","2753","2753","6.716466426849365","6.716466426849365","6.716466426849365"
"54","2804","2804","2804","6.707588195800781","6.707588195800781","6.707588195800781","2804","2804","2804","6.697506904602051","6.697506904602051","6.697506904602051","2804","2804","2804","6.48490571975708","6.48490571975708","6.48490571975708","2804","2804","2804","6.533506870269775","6.533506870269775","6.533506870269775","2804","2804","2804","6.727392196655273","6.727392196655273","6.727392196655273"
"55","2855","2855","2855","6.717775821685791","6.717775821685791","6.717775821685791","2855","2855","2855","6.710437297821045","6.710437297821045","6.710437297821045","2855","2855","2855","6.490055561065674","6.490055561065674","6.490055561065674","2855","2855","2855","6.538237571716309","6.538237571716309","6.538237571716309","2855","2855","2855","6.712490081787109","6.712490081787109","6.712490081787109"
"56","2906","2906","2906","6.696890830993652","6.696890830993652","6.696890830993652","2906","2906","2906","6.69558572769165","6.69558572769165","6.69558572769165","2906","2906","2906","6.500644683837891","6.500644683837891","6.500644683837891","2906","2906","2906","6.510678291320801","6.510678291320801","6.510678291320801","2906","2906","2906","6.692264080047607","6.692264080047607","6.692264080047607"
"57","2957","2957","2957","6.690482139587402","6.690482139587402","6.690482139587402","2957","2957","2957","6.7223405838012695","6.7223405838012695","6.7223405838012695","2957","2957","2957","6.494785308837891","6.494785308837891","6.494785308837891","2957","2957","2957","6.537873268127441","6.537873268127441","6.537873268127441","2957","2957","2957","6.704089164733887","6.704089164733887","6.704089164733887"
"58","3008","3008","3008","6.724918842315674","6.724918842315674","6.724918842315674","3008","3008","3008","6.701642036437988","6.701642036437988","6.701642036437988","3008","3008","3008","6.488088607788086","6.488088607788086","6.488088607788086","3008","3008","3008","6.56383752822876","6.56383752822876","6.56383752822876","3008","3008","3008","6.698855400085449","6.698855400085449","6.698855400085449"
"59","3059","3059","3059","6.71560525894165","6.71560525894165","6.71560525894165","3059","3059","3059","6.712952136993408","6.712952136993408","6.712952136993408","3059","3059","3059","6.4815354347229","6.4815354347229","6.4815354347229","3059","3059","3059","6.55199670791626","6.55199670791626","6.55199670791626","3059","3059","3059","6.702104568481445","6.702104568481445","6.702104568481445"
"60","3110","3110","3110","6.695465564727783","6.695465564727783","6.695465564727783","3110","3110","3110","6.711760997772217","6.711760997772217","6.711760997772217","3110","3110","3110","6.480620384216309","6.480620384216309","6.480620384216309","3110","3110","3110","6.53152322769165","6.53152322769165","6.53152322769165","3110","3110","3110","6.725439071655273","6.725439071655273","6.725439071655273"
"61","3161","3161","3161","6.715483665466309","6.715483665466309","6.715483665466309","3161","3161","3161","6.70828914642334","6.70828914642334","6.70828914642334","3161","3161","3161","6.4693379402160645","6.4693379402160645","6.4693379402160645","3161","3161","3161","6.51608419418335","6.51608419418335","6.51608419418335","3161","3161","3161","6.699909210205078","6.699909210205078","6.699909210205078"
"62","3212","3212","3212","6.715731143951416","6.715731143951416","6.715731143951416","3212","3212","3212","6.706245422363281","6.706245422363281","6.706245422363281","3212","3212","3212","6.485349178314209","6.485349178314209","6.485349178314209","3212","3212","3212","6.555421829223633","6.555421829223633","6.555421829223633","3212","3212","3212","6.705111026763916","6.705111026763916","6.705111026763916"
"63","3263","3263","3263","6.710396766662598","6.710396766662598","6.710396766662598","3263","3263","3263","6.689385890960693","6.689385890960693","6.689385890960693","3263","3263","3263","6.457282066345215","6.457282066345215","6.457282066345215","3263","3263","3263","6.548007011413574","6.548007011413574","6.548007011413574","3263","3263","3263","6.71432638168335","6.71432638168335","6.71432638168335"
"64","3314","3314","3314","6.6888203620910645","6.6888203620910645","6.6888203620910645","3314","3314","3314","6.712675094604492","6.712675094604492","6.712675094604492","3314","3314","3314","6.480082035064697","6.480082035064697","6.480082035064697","3314","3314","3314","6.540292739868164","6.540292739868164","6.540292739868164","3314","3314","3314","6.693668842315674","6.693668842315674","6.693668842315674"
"65","3365","3365","3365","6.709786891937256","6.709786891937256","6.709786891937256","3365","3365","3365","6.703106880187988","6.703106880187988","6.703106880187988","3365","3365","3365","6.486677169799805","6.486677169799805","6.486677169799805","3365","3365","3365","6.528743267059326","6.528743267059326","6.528743267059326","3365","3365","3365","6.703178882598877","6.703178882598877","6.703178882598877"
"66","3416","3416","3416","6.708777904510498","6.708777904510498","6.708777904510498","3416","3416","3416","6.718522071838379","6.718522071838379","6.718522071838379","3416","3416","3416","6.492428779602051","6.492428779602051","6.492428779602051","3416","3416","3416","6.510181427001953","6.510181427001953","6.510181427001953","3416","3416","3416","6.696979522705078","6.696979522705078","6.696979522705078"
"67","3467","3467","3467","6.70671272277832","6.70671272277832","6.70671272277832","3467","3467","3467","6.703308582305908","6.703308582305908","6.703308582305908","3467","3467","3467","6.448409557342529","6.448409557342529","6.448409557342529","3467","3467","3467","6.514971733093262","6.514971733093262","6.514971733093262","3467","3467","3467","6.712644577026367","6.712644577026367","6.712644577026367"
"68","3518","3518","3518","6.692738056182861","6.692738056182861","6.692738056182861","3518","3518","3518","6.69882345199585","6.69882345199585","6.69882345199585","3518","3518","3518","6.472438335418701","6.472438335418701","6.472438335418701","3518","3518","3518","6.517883777618408","6.517883777618408","6.517883777618408","3518","3518","3518","6.696660995483398","6.696660995483398","6.696660995483398"
"69","3569","3569","3569","6.735158443450928","6.735158443450928","6.735158443450928","3569","3569","3569","6.683994293212891","6.683994293212891","6.683994293212891","3569","3569","3569","6.464909076690674","6.464909076690674","6.464909076690674","3569","3569","3569","6.5329461097717285","6.5329461097717285","6.5329461097717285","3569","3569","3569","6.702939033508301","6.702939033508301","6.702939033508301"
"70","3620","3620","3620","6.69863748550415","6.69863748550415","6.69863748550415","3620","3620","3620","6.6941657066345215","6.6941657066345215","6.6941657066345215","3620","3620","3620","6.4714179039001465","6.4714179039001465","6.4714179039001465","3620","3620","3620","6.533664703369141","6.533664703369141","6.533664703369141","3620","3620","3620","6.698929786682129","6.698929786682129","6.698929786682129"
"71","3671","3671","3671","6.702017784118652","6.702017784118652","6.702017784118652","3671","3671","3671","6.693382263183594","6.693382263183594","6.693382263183594","3671","3671","3671","6.463505744934082","6.463505744934082","6.463505744934082","3671","3671","3671","6.533908367156982","6.533908367156982","6.533908367156982","3671","3671","3671","6.6994476318359375","6.6994476318359375","6.6994476318359375"
